Unnamed: 0,Unnamed: 1,INKAR 2022 – Indikatorenübersicht:   Raumbeobachtung Deutschland,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
8,8774,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,Zahl der sozialversicherungspflichtig Beschäftigten am Arbeitsort insgesamt,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Arbeitsort. Der Arbeitsort ist die Regionaleinheit, in der die Beschäftigten arbeiten, unabhängig davon wo sie wohnen. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),x,,1997-2020,1997-2020
9,8766,Sozialversicherungspflichtig Beschäftigte am Wohnort,Zahl der sozialversicherungspflichtig Beschäftigten am Wohnort insgesamt,,"Es handelt sich um die Zahl der sozialversicherungspflichtig Beschäftigten zum Stichtag 30. Juni des jeweiligen Jahres. Ausgewiesen werden die Beschäftigten am Wohnort. Der Wohnort bezeichnet  die  Regionaleinheit, in der die Beschäftigten wohnen, unabhängig davon wo sie arbeiten. Sozialversicherungspflichtig Beschäftigte sind nach Definition der BA Personen, von denen eine Arbeitgebermeldung zur Sozialversicherung vorliegt, die in mindestens einem der Zweige der Sozialversicherung (Rentenversicherung, Kranken- und Pflegeversicherung, Arbeitslosenversicherung) versicherungspflichtig sind, die abhängig beschäftigt gegen Entgelt (Ausnahmen sind Unterbrechungstatbestände wie Elternzeit) sind mit mindestens einer Stunde pro Woche. Zu den sozialversicherungspflichtig Beschäftigten zählen auch Beschäftigte in einem Auszubildungsverhältnis, in Werkstätten für behinderte Menschen und ähnliche Einrichtungen, in Freiwilligendiensten.",Beschäftigtenstatistik der Bundesagentur für Arbeit (BA),x,,1997-2020,1997-2020
10,2176,Arbeitslose,Zahl der Arbeitslosen insgesamt,,"Es handelt sich um die Zahl der Arbeitslosen im Jahresdurchschnitt. Arbeitslose (bzw. arbeitslose Arbeitssuchende) sind laut Definition der BA Personen, die vorübergehend nicht in einem Beschäftigungsverhältnis stehen, eine versicherungspflichtige, mindestens 15 Wochenstunden umfassende Beschäftigung suchen, arbeiten dürfen, arbeitsfähig und arbeitsbereit sind, in der Bundesrepublik wohnen, nicht jünger als 15 Jahre sind und die Altersgrenze für den Renteneintritt noch nicht erreicht haben und sich persönlich bei einer Agentur für Arbeit oder einem Jobcenter arbeitslos gemeldet haben.",Arbeitsmarktstatistik der Bundesagentur für Arbeit (BA),x,,1998-2020,1995-2020
11,4273,Bruttoinlandsprodukt in 1000 Euro,Bruttoinlandsprodukt (BIP) absolut in Millionen Euro,,"Das Bruttoinlandsprodukt (BIP) misst die Produktion von Waren und Dienstleistungen im Inland, soweit diese nicht als Vorleistungen für die Produktion anderer Waren und Dienstleistungen verwendet werden. Von seiner Entstehung her gesehen ergibt sich das BIP als Summe der Wertschöpfung aller Wirtschaftsbereiche zuzüglich des Saldos von Gütersteuern minus Gütersubventionen. Die regionalen Ergebnisse der Volkswirtschaftlichen Gesamtrechnungen werden in Deutschland vom Arbeitskreis „Volkswirtschaftliche Gesamtrechnungen der Länder“ erstellt. Grundlage der Berechnungen ist das Europäische System Volkswirtschaftlicher Gesamt-rechnungen (ESVG)  2010 und die darauf begründete Generalrevision 2014. Regionale Ergebnisse werden durch die Aufteilung des nationalen Ergebnisses auf die Regionen, angefangen bei den Bundesländern bis zu den Stadt- und Landkreisen, gewonnen. Bei der Bottom-up-Methode wird von den regional vorliegenden Angaben einzelner Beobachtungseinheiten ausgegangen und diese dann regional-hierarchisch addiert. Dieses Vorgehen stellt hohe Ansprüche bezüglich der regionalen  Verfügbarkeit des Datenmaterials. Durchführen lässt sich diese Methode insbesondere im Produzierenden Gewerbe. Diese Ergebnisse werden noch durch die Koordinierung an den Bundeseckwerten gemäß Festlegungen im ESVG-Kapitel zu den Regionalen VGR-Aggregaten angepasst. Es wird angenommen, dass die nationalen VGR-Größen wegen der besseren Datenlage a priori genauere Werte liefern als die Länderrechnung, zumal auch nur auf Bundesebene eine kreislaufmäßige Abstimmung der VGR-Aggregate über die sogenannte Drei-Seiten-Rechnung möglich ist. Bei der Top-down-Methode wird das auf Bundesebene ermittelte gesamtwirtschaftliche Aggregat auf die einzelnen Regionen verteilt, mittels geeigneter Schlüsselgrößen, die in möglichst engem Zusammenhang zu den zu berechnenden Aggregaten stehen und diese möglichst genau widerspiegeln sollen. Diese indirekte  Methode muss in den Wirtschaftsbereichen angewandt werden, wo die Datenlage nur auf Bundesebene eine differenzierte Berechnung der Aggregate zulässt. Hiervon ist vor allem der Dienstleistungsbereich im weiteren Sinne betroffen.","Arbeitskreis ""Volkswirtschaftliche Gesamtrechnungen der Länder""",,x,,2000-2020
,,Arbeitslosigkeit,,,,,,,,
,,Arbeitslosigkeit - allgemein,,,,,,,,
1101,14574,Arbeitslosenquote,Anteil der Arbeitslosen an den zivilen Erwerbspersonen in %,Arbeitslose <Zeitpunkt> / alle zivile Erwerbspersonen <Zeitpunkt> x 100,"Die Arbeitslosenquote zeigt die relative Unterauslastung des Arbeitskräfteangebots an. Sie ist ein zentrales Maß für einen unausgeglichenen regionalen Arbeitsmarkt. Die Arbeitslosenquote in ihrer zeitlichen Entwicklung zeigt allerdings nur bedingt Strukturprobleme auf dem regionalen Arbeitsmarkt an!. hierzu sind weitere Informationen des Arbeitsmarktes erforderlich. Die Zusammenlegung von Arbeitslosen- und Sozialhilfeleistung im Zuge der Arbeitsmarkreformen 2005 hat zunächst zum Anstieg der Arbeitslosenquote beigetragen. Der anschließende Rückgang ist dann eher auf eine verlangsamte Produktivitätsentwicklung, die Zunahme atypischer Beschäftigungsverhältnisse, die Verteilung des Arbeitsvolumens auf mehr Köpfe sowie auf sinkende Arbeitskraftreserven zurückzuführen. Für die Bezugsgröße (Nenner) gibt es unterschiedliche Varianten!. hier werden alle zivilen Erwerbspersonen als Bezugsgröße gewählt. Zivile Erwerbspersonen umfassen die zivilen Erwerbstätigen und Arbeitslose. Regional werden zivile Erwerbspersonen bei kleinen Einheiten unter 1.000 Personen gar nicht und bei Einheiten zwischen 1.000 und 15.000 Personen nach Ermessen ausgewiesen. Daher berechnet die BA für die Ebene der Gemeinden keine Arbeitslosenquote. Auf Ebene der Gemeinden schätzt das BBSR die zivilen Erwerbspersonen anhand der kreisweisen Erwerbsbeteiligung und der gemeindlichen Angaben zur Bevölkerung im Alter von 15 bis unter 65 Jahren und berechnet auf dieser Basis eine Arbeitslosenquote für die Gemeindeverbände. Letztere stellen daher nur eine grobe Schätzung dar und spiegeln nicht zwangsläufig die echte Arbeitslosenquote für den Gemeindeverband wider.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),,x,,1998-2020
1102,14986,Arbeitslosenquote Frauen,Anteil der arbeitslosen Frauen an den weiblichen zivilen Erwerbspersonen in %,Arbeitslose Frauen <Zeitpunkt> / weibliche zivile Erwerbspersonen <Zeitpunkt> x 100,"Die Arbeitslosenquote der Frauen zeigt die relative Unterauslastung des Arbeitskräfteangebots von Frauen an. Für die Bezugsgröße (Nenner) gibt es unterschiedliche Varianten!. hier werden die weiblichen zivilen Erwerbspersonen als Bezugsgröße gewählt. Weibliche zivile Erwerbspersonen umfassen die weiblichen zivilen Erwerbstätigen und weibliche Arbeitslose. Daten zu den zivilen Erwerbspersonen nach Geschlecht werden seitens der BA erst ab 2008 zur Verfügung gestellt. Bei der Interpretation der Arbeitslosenquote der Frauen nach den Arbeitsmarktreformen 2005 ist zu berücksichtigen, die Zunahme atypischer Beschäftigungsverhältnisse (geringfügige Beschäftigung, Teilzeit unter 20 Stunden pro Woche) stärker relevant sind als bei Männern und daher nicht hinreichend die Unterauslastung des Arbeitskräfteangebotes widerspiegelt.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),,x,,2008-2020
1103,14987,Arbeitslosenquote Männer,Anteil der arbeitslosen Männer an den männlichen zivilen Erwerbspersonen in %,Arbeitslose Männer <Zeitpunkt> / männliche zivile Erwerbspersonen <Zeitpunkt> x 100,Die Arbeitslosenquote der Männer zeigt die relative Unterauslastung des Arbeitskräfteangebots von Männer an. Für die Bezugsgröße (Nenner) gibt es unterschiedliche Varianten!. hier werden die männlichen zivilen Erwerbspersonen als Bezugsgröße gewählt. Männliche zivile Erwerbspersonen umfassen die männlichen zivilen Erwerbstätigen und männliche Arbeitslose. Daten zu den zivilen Erwerbspersonen nach Geschlecht werden seitens der BA erst ab 2008 zur Verfügung gestellt.,Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),,x,,2008-2020
1104,15026,Arbeitslose Frauen,Anteil der arbeitslosen Frauen an den Arbeitslosen in %,Arbeitslose Frauen <Zeitpunkt> / Arbeitslose insgesamt <Zeitpunkt> x 100,"Anteil der von Arbeitslosigkeit betroffenen Frauen gegenüber der von Männern. Zwar haben sich die Unterschiede zwischen den Geschlechtern verringert, doch sind  –absolut und relativ –Frauen seltener als Männer erwerbstätig. Frauen sind nicht ganz entsprechend ihrem Anteil an den Arbeitslosen und ihrer relativen Betroffenheit von Arbeitslosigkeit an der Förderung durch arbeitsmarktpolitische Maßnahmen beteiligt.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1995-2020
1105,15027,Arbeitslose Männer,Anteil der arbeitslosen Männer an den Arbeitslosen in %,Arbeitslose Männer <Zeitpunkt> / Arbeitslose insgesamt <Zeitpunkt> x 100,"Anteil der von Arbeitslosigkeit betroffenen Männer gegenüber der von Frauen. Männer haben ein höheres Risiko, ihre Beschäftigung zu verlieren und arbeitslos zu werden, aber auch bessere Chancen, Arbeitslosigkeit durch Aufnahme einer Beschäftigung wieder zu überwinden. Das liegt auch daran, dass Männer öfter in konjunktur- bzw. saisonabhängigen Berufen arbeiten.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1995-2020
,,Arbeitslosigkeit - Struktur,,,,,,,,
1201,14575,Langzeitarbeitslose,"Anteil der Arbeitslosen, 1 Jahr und länger arbeitslos, an den Arbeitslosen in %","Arbeitslose, 1 Jahr und länger arbeitslos, <Zeitpunkt> / Arbeitslose <Zeitpunkt> x 100","Die Dauer der Arbeitslosigkeit gibt Auskunft über das Ausmaß der verfestigten Arbeitslosigkeit in einer Volkswirtschaft. Für die betroffenen Menschen kann Langzeitarbeitslosigkeit sozialen Abstieg, Verarmung und Resignation bedeuten. Als Langzeitarbeitslose gelten nach §18 Abs.1 SGBIII alle Personen, die am jeweiligen Stichtag der Zählung ein Jahr (hier: 364 Tage) und länger bei den Agenturen für Arbeit oder bei den Trägern für Grundsicherung für Arbeitsuchende nach dem SGB II arbeitslos gemeldet waren. Die Teilnahme an einer Maßnahme nach §45 SGBIII sowie die Zeiten einer Erkrankung oder sonstiger Nicht-Erwerbstätigkeit (z.B. Ortsabwesenheit) bis zu sechs Wochen unterbrechen die Dauer der Arbeitslosigkeit nicht. Nach dem Eintritt der Arbeitslosigkeit ist das Risiko langzeitarbeitslos zu werden für diejenigen Menschen hoch, die über sogenannte vermittlungshemmende Merkmale verfügen. Das können beispielsweise die fehlende Betreuung eines Kindes unter drei Jahren, eine nicht vorhandene oder geringe Qualifikation, sprachliche Defizite, gesundheitliche Einschränkungen oder ein hohes Lebensalter sein. Diese schlechteren Chancen auf eine Beschäftigungsaufnahme spiegeln sich in den Strukturen der Arbeitslosigkeit nach der Dauer wider.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1995-2020
1202,16446,Weibliche Langzeitarbeitslose,"Anteil der weiblichen Arbeitslosen, 1 Jahr und länger arbeitslos, an den weiblichen Arbeitslosen in %","Weibliche Arbeitslose, 1 Jahr und länger arbeitslos, <Zeitpunkt> / weibliche Arbeitslose <Zeitpunkt> x 100","Der Anteil der langzeitarbeitslosen Frauen unter den arbeitslosen Frauen gibt Auskunft, in wieweit die verfestigte Arbeitslosigkeit bei Frauen anders gelagert ist als allgemein in der Regionaleinheit. Als Langzeitarbeitslose gelten nach §18 Abs.1 SGBIII alle Personen, die am jeweiligen Stichtag der Zählung ein Jahr (hier: 364 Tage) und länger bei den Agenturen für Arbeit oder bei den Trägern für Grundsicherung für Arbeitsuchende nach dem SGB II arbeitslos gemeldet waren. Die Teilnahme an einer Maßnahme nach §45 SGBIII sowie die Zeiten einer Erkrankung oder sonstiger Nicht-Erwerbstätigkeit (z.B. Ortsabwesenheit) bis zu sechs Wochen unterbrechen die Dauer der Arbeitslosigkeit nicht. Unter den sogenannten vermittlungshemmenden Merkmalen wie nicht vorhandene oder geringe Qualifikation, sprachliche Defizite, gesundheitliche Einschränkungen oder ein hohes Lebensalter spielt die fehlende Betreuung eines Kindes unter drei Jahren bei den Frauen eine gewisse Rolle, da die Versorgung und Betreuung von Kleinkindern gesellschaftlich in Deutschland noch immer mehrheitlich den Müttern überantwortet wird. ",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1998-2020
1203,16466,Männliche Langzeitarbeitslose,"Anteil der männlichen Arbeitslosen, 1 Jahr und länger arbeitslos, an den männlichen Arbeitslosen in %","Männliche Arbeitslose, 1 Jahr und länger arbeitslos, <Zeitpunkt> / männliche Arbeitslose <Zeitpunkt> x 100","Der Anteil der langzeitarbeitslosen Männer unter den arbeitslosen Männern gibt Auskunft, in wieweit die verfestigte Arbeitslosigkeit bei Männern anders gelagert ist als allgemein in der Regionaleinheit. Als Langzeitarbeitslose gelten nach §18 Abs.1 SGBIII alle Personen, die am jeweiligen Stichtag der Zählung ein Jahr (hier: 364 Tage) und länger bei den Agenturen für Arbeit oder bei den Trägern für Grundsicherung für Arbeitsuchende nach dem SGB II arbeitslos gemeldet waren. Die Teilnahme an einer Maßnahme nach §45 SGBIII sowie die Zeiten einer Erkrankung oder sonstiger Nicht-Erwerbstätigkeit (z.B. Ortsabwesenheit) bis zu sechs Wochen unterbrechen die Dauer der Arbeitslosigkeit nicht. Unter den sogenannten vermittlungshemmenden Merkmalen wie fehlende Betreuung eines Kindes unter drei Jahren sprachliche Defizite oder gesundheitliche Einschränkungen sind bei Männern ein hohes Lebensalter und – insbesondere in Kombination – eine nicht vorhandene oder geringe Qualifikation bedeutsam. ",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1998-2020
1204,15028,Ausländische Arbeitslose,Anteil der ausländischen Arbeitslosen an den Arbeitslosen in %,Ausländische Arbeitslose <Zeitpunkt> / Arbeitslose insgesamt <Zeitpunkt> x 100,"Anteil der von Arbeitslosigkeit betroffenen ausländischen gegenüber deutschen Staatsbürgerinnen und -bürgern. Ausländische Areitslose sind Einwohner und Einwohnerinnen, die sich im Bundesgebiet aufhalten, ohne die deutsche Staatsbürgerschaft im Sinne von Artikel 116 Grundgesetz zu besitzen, und sich arbeitslos gemeldet haben. Der Anteil ausländischer Arbeitsloser ist abhängig von dem Niveau, in der Regionaleinheit lebender ausländischer Staatsbürgerinnen und -bürgern sowie ihrer Erwerbsbeteiligung. Für die Arbeitslosigkeitsentwicklung für ausländische Staatsbürger können auch Veränderungen auf der Arbeitskräftangebotsseite von Einfluss sein. Die Daten zur Arbeitslosigkeit dürften zudem von den Regelungen zur Arbeitnehmerfreizügigkeit für die EU-Beitrittsstaaten und durch die Flüchtlingsmigration beeinflusst sein.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1995-2020
1205,15029,Ausländische weibliche Arbeitslose,Anteil der ausländischen weiblichen  Arbeitslosen an den weiblichen Arbeitslosen in %,Ausländische weibliche Arbeitslose <Zeitpunkt> / weibliche Arbeitslose <Zeitpunkt> x 100,Anteil der von Arbeitslosigkeit betroffenen weiblichen ausländischen Staatsbürgerinnen gegenüber den weiblichen deutschen Staatsbürgerinnen. Der Anteil ist abhängig vom Niveau der ausländischen Staatsbürgerinnen im erwerbsfähigen Alter und ihrer Erwerbsbeteiligung. Die Erwerbsbeteiligung ausländischer Staatsbürgerinnen ist deutlich niedriger als die der deutschen Staatsbürgerinnen.,Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1998-2020
1206,15030,Ausländische männliche Arbeitslose,Anteil der ausländischen männlichen Arbeitslosen an den männlichen Arbeitslosen in %,Ausländische männliche Arbeitslose <Zeitpunkt> / männliche Arbeitslose <Zeitpunkt> x 100,Anteil der von Arbeitslosigkeit betroffenen männlichen ausländischen Staatsbürgern gegenüber den männlichen deutschen Staatsbürgern. Der Anteil ist abhängig vom Niveau der ausländischen Staatsbürger im erwerbsfähigen Alter und ihrer Erwerbsbeteiligung. Die Erwerbsbeteiligung ausländischer Staatsbürger ist nur wenig niedriger als die der deutschen Staatsbürger.,Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),x,,1998-2020,1998-2020
1207,15031,Arbeitslose ohne Ausbildung,Anteil der Arbeitslosen ohne Berufsausbildung an den Arbeitslosen in %,Arbeitslose ohne Berufsausbildung <Zeitpunkt> / Arbeitslose insgesamt <Zeitpunkt> x 100,"Anteil der von Arbeitslosigkeit Betroffenen ohne Berufsausbildung gegenüber denen mit Berufsausbildung. Zur Berufsausbildung gehören betriebliche Ausbildung, schulische Ausbildung und Studium. Weiterbildungen fallen nicht unter diesen Begriff. Hat eine Person mehrere Berufsausbildungen, wird in den Statistiken in aller Regel die zuletzt abgeschlossene Berufsausbildung ausgewiesen. Beschäftigte ohne Berufsausbildung tragen ein hohes Risiko, den Arbeitsplatz zu verlieren und kein neues Arbeitsverhältnis aufnehmen zu können.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),,x,,2009-2020
1208,15032,Arbeitslose mit Anforderungsniveau Experte,Anteil Arbeitslose Anforderungsniveau Experte an den Arbeitslosen in %,Arbeitslose Anforderungsniveau Experte <Zeitpunkt> / Arbeitslose insgesamt <Zeitpunkt> x 100,"Anteil der von Arbeitslosigkeit Betroffenen mit einer Einstufung als Experte gegenüber denen anderer Anforderungsniveaus. Das Anforderungsniveau wird seit 2010  nach Klassifikation der Berufe gruppiert. Experte führen hoch komplexe Tätigkeiten aus. Sie besitzen ein sehr hohes Kenntnis- und Fertigkeitsniveau, übernehmen Leitungs- und Führungsaufgaben. Voraussetzung sind eine mindestens vierjährige Hochschulausbildung oder entsprechende Berufserfahrung. Die Summe der Anteile über alle Anforderungsniveaus ist  <100 %, weil die Kategorie ""keine Angabe"" nicht in die Berechnung einbezogen ist. Experten, Spezialisten und Fachkräfte haben ein geringes Risiko, den Arbeitsplatz zu verlieren und kurzfristig kein neues Arbeitsverhältnis zu finden.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),,x,,2010-2020
1209,15033,Arbeitslose mit Anforderungsniveau Spezialist,Anteil Arbeitslose Anforderungsniveau Spezialist an den Arbeitslosen in %,Arbeitslose Anforderungsniveau Spezialist <Zeitpunkt> / Arbeitslose insgesamt <Zeitpunkt> x 100,"Anteil der von Arbeitslosigkeit Betroffenen mit einer Einstufung als Spezialist gegenüber denen anderer Anforderungsniveaus. Das Anforderungsniveau wird seit 2010  nach Klassifikation der Berufe gruppiert. Spezialisten führen komplexe Spezialistentätigkeiten aus. Sie verfügen über Spezialkenntnisse und -Fertigkeiten und führen gehobene Fach- und Führungsaufgaben durch. Voraussetzungen sind Meister- oder Technikerausbildung oder ein gleichwertiger Fachschul- oder Hochschulabschluss. Die Summe der Anteile über alle Anforderungsniveaus ist  <100 %, weil die Kategorie ""keine Angabe"" nicht in die Berechnung einbezogen ist. Spezialisten, Experten und Fachkräfte haben ein geringes Risiko, den Arbeitsplatz zu verlieren und kurzfristig kein neues Arbeitsverhältnis zu finden.",Arbeitsmarktstatistik  der Bundesagentur für Arbeit (BA),,x,,2010-2020
