,select,category,category_de,category_nl,name,name_de,name_nl,source_de,source_id_de,source_nl,source_id_nl,Zeitbezug_min,Zeitbezug_max,Gemeinden,Gemeindeverbände,Kreise
25,,Unemployment,Arbeitslosigkeit,,Unemployment rate women,Arbeitslosenquote Frauen,,Inkar,14986,,,2008,2020,,,X
26,,Unemployment,Arbeitslosigkeit,,Unemployment rate Younger,Arbeitslosenquote Jüngere,,Inkar,15506,,,2008,2020,,,X
27,,Unemployment,Arbeitslosigkeit,,Unemployment rate Males,Arbeitslosenquote Männer,,Inkar,14987,,,2008,2020,,,X
28,,Unemployment,Arbeitslosigkeit,,Unemployment rate Elderly,Arbeitslosenquote Ältere,,Inkar,16386,,,2008,2020,,,X
29,,Unemployment,Arbeitslosigkeit,,Foreign unemployed,Ausländische Arbeitslose,,Inkar,15028,,,1995,2020,,X,X
30,,Unemployment,Arbeitslosigkeit,,Foreign male unemployed,Ausländische männliche Arbeitslose,,Inkar,15030,,,1998,2020,,X,X
31,,Unemployment,Arbeitslosigkeit,,Foreign female unemployed,Ausländische weibliche Arbeitslose,,Inkar,15029,,,1998,2020,,X,X
32,,Unemployment,Arbeitslosigkeit,,Younger unemployed,Jüngere Arbeitslose,,Inkar,16271,,,1995,2020,,X,X
33,,Unemployment,Arbeitslosigkeit,,Long-term unemployed,Langzeitarbeitslose,,Inkar,14575,,,1995,2020,,X,X
34,,Unemployment,Arbeitslosigkeit,,Long-term male unemployment,Männliche Langzeitarbeitslose,,Inkar,16466,,,1998,2020,,X,X
35,,Unemployment,Arbeitslosigkeit,,Male younger unemployed,Männliche jüngere Arbeitslose,,Inkar,16306,,,1998,2020,,X,X
36,,Unemployment,Arbeitslosigkeit,,Male older unemployed,Männliche ältere Arbeitslose,,Inkar,16368,,,1998,2020,,X,X
37,,Unemployment,Arbeitslosigkeit,,Open positions with level of requirements Expert,Offene Stellen mit Anforderungsniveau Experte,,Inkar,16266,,,2008,2020,,,X
38,,Unemployment,Arbeitslosigkeit,,Open positions with a level of qualification,Offene Stellen mit Anforderungsniveau Fachkraft,,Inkar,16268,,,2008,2020,,,X
39,,Unemployment,Arbeitslosigkeit,,Open positions with level of requirements Helpers,Offene Stellen mit Anforderungsniveau Helfer,,Inkar,16269,,,2008,2020,,,X
40,,Unemployment,Arbeitslosigkeit,,Open positions with level of requirements Specialist,Offene Stellen mit Anforderungsniveau Spezialist,,Inkar,16267,,,2008,2020,,,X
41,,Unemployment,Arbeitslosigkeit,,Long-term female unemployment,Weibliche Langzeitarbeitslose,,Inkar,16446,,,1998,2020,,X,X
42,,Unemployment,Arbeitslosigkeit,,Female younger unemployed,Weibliche jüngere Arbeitslose,,Inkar,16287,,,1998,2020,,X,X
43,,Unemployment,Arbeitslosigkeit,,Female older unemployed,Weibliche ältere Arbeitslose,,Inkar,16348,,,1998,2020,,X,X
44,,Unemployment,Arbeitslosigkeit,,Older unemployed,Ältere Arbeitslose,,Inkar,16346,,,1998,2020,,X,X
45,,Building and housing,Bauen und Wohnen,,5 and more room apartments,5- und mehr Raum-Wohnungen,,Inkar,17358,,,2011,2020,,X,X
46,,Building and housing,Bauen und Wohnen,,Building permits for dwellings,Baugenehmigungen für Wohnungen,,Inkar,16027,,,1995,2020,,X,X
47,,Building and housing,Bauen und Wohnen,,Building permits for dwellings in single and two-family houses,Baugenehmigungen für Wohnungen in Ein- und Zweifamilienhäusern,,Inkar,16028,,,2003,2020,,X,X
48,,Building and housing,Bauen und Wohnen,,Building permits for apartments in multi-family houses,Baugenehmigungen für Wohnungen in Mehrfamilienhäusern,,Inkar,16686,,,1995,2020,,X,X
49,,Building and housing,Bauen und Wohnen,,Building land prices,Baulandpreise,,Inkar,15167,,,1995,2020,,,X
50,,Building and housing,Bauen und Wohnen,,Single and two-family houses,Ein- und Zweifamilienhäuser,,Inkar,17355,,,2011,2020,,X,X
51,,Building and housing,Bauen und Wohnen,,One and two-room apartments,Ein- und Zweiraumwohnungen,,Inkar,17357,,,2011,2020,,X,X
52,,Building and housing,Bauen und Wohnen,,Manufactured residential buildings with renewable heating energy,Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie,,Inkar,16806,,,2016,2020,,,X
53,,Building and housing,Bauen und Wohnen,,Number of dwellings completed,Fertiggestellte Wohnungen im Bestand,,Inkar,16709,,,2011,2020,,X,X
54,,Building and housing,Bauen und Wohnen,,Completed apartments with renewable heating energy,Fertiggestellte Wohnungen mit erneuerbarer Heizenergie,,Inkar,16807,,,2017,2020,,,X
55,,Building and housing,Bauen und Wohnen,,Multi-family houses,Mehrfamilienhäuser,,Inkar,17356,,,2011,2020,,X,X
56,,Building and housing,Bauen und Wohnen,,New apartments in single and two-family houses,Neubauwohnungen in Ein- und Zweifamilienhäusern,,Inkar,16747,,,2000,2020,,X,X
57,,Building and housing,Bauen und Wohnen,,New apartments in single and two-family houses per inhabitant,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner,,Inkar,16766,,,1996,2020,,X,X
58,,Building and housing,Bauen und Wohnen,,New apartments in multi-family houses,Neubauwohnungen in Mehrfamilienhäusern,,Inkar,16786,,,1995,2020,,X,X
59,,Building and housing,Bauen und Wohnen,,New dwellings per inhabitant,Neubauwohnungen je Einwohner,,Inkar,16748,,,1995,2020,,X,X
60,,Building and housing,Bauen und Wohnen,,New single and two-family houses,Neue Ein- und Zweifamilienhäuser,,Inkar,16746,,,2000,2020,,X,X
61,,Building and housing,Bauen und Wohnen,,Living space,Wohnfläche,,Inkar,17359,,,2011,2020,,,X
62,,Building and housing,Bauen und Wohnen,,Flats in single and two-family houses,Wohnungen in Ein- und Zweifamilienhäusern,,Inkar,17789,,,2011,2020,,X,X
63,,Building and housing,Bauen und Wohnen,,Flats in multi-family houses,Wohnungen in Mehrfamilienhäusern,,Inkar,17790,,,2011,2020,,X,X
64,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of employment Financial and business services,Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen,,Inkar,17064,,,2000,2020,,,X
65,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of total employment Manufacturing in industry,Anteil Erwerbstätige Verarbeitendes Gewerbe an Industrie,,Inkar,17063,,,2000,2020,,,X
66,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of mini-jobs (women),Anteil Minijobs (Frauen),,Inkar,17033,,,2003,2020,,X,X
67,x,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of mini-jobs (men),Anteil Minijobs (Männer),,Inkar,17034,,,2003,2020,,X,X
68,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of mini-jobs (supplementary earnings),Anteil Minijobs (Nebenverdienst),,Inkar,17029,,,2003,2020,,X,X
69,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of mini-jobs (supplementary earnings) in employment,Anteil Minijobs (Nebenverdienst) an den Beschäftigungsverhältnissen,,Inkar,16728,,,2003,2020,,X,X
70,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of mini-jobs (exclusively) in employment,Anteil Minijobs (ausschließlich) an den Beschäftigungsverhältnissen,,Inkar,15007,,,2003,2020,,X,X
71,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of mini-jobs (excluding small employees),Anteil Minijobs (ausschließlich) an geringfügig Beschäftigten,,Inkar,16729,,,2003,2020,,X,X
72,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Share of mini-jobs in employment,Anteil Minijobs an den Beschäftigungsverhältnissen,,Inkar,16727,,,2003,2020,,X,X
73,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Replenishment,Aufstocker,,Inkar,14386,,,2007,2020,,,X
74,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Number of persons employed in the pymaric sector,Beschäftigte Pimärer Sektor,,Inkar,17038,,,2008,2020,,,X
75,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees Secondary sector,Beschäftigte Sekundärer Sektor,,Inkar,17040,,,2008,2020,,,X
76,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees Tertiary sector,Beschäftigte Tertiärer Sektor,,Inkar,17047,,,2008,2020,,,X
77,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees at the AO with a vocational qualification,Beschäftigte am AO mit Berufsabschluss,,Inkar,17522,,,2012,2020,,,X
78,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees at the AO with an academic degree,Beschäftigte am AO mit akademischem Berufsabschluss,,Inkar,17523,,,2012,2020,,,X
79,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Persons employed at the AO without a vocational qualification,Beschäftigte am AO ohne Berufsabschluss,,Inkar,17521,,,2012,2020,,,X
80,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees at the WO with a vocational qualification,Beschäftigte am WO mit Berufsabschluss,,Inkar,18586,,,2012,2020,,,X
81,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees at the WO with academic degree,Beschäftigte am WO mit akademischen Abschluss,,Inkar,18167,,,2012,2020,,,X
82,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Persons employed at the WO without a vocational qualification,Beschäftigte am WO ohne Berufsabschluss,,Inkar,18487,,,2012,2020,,,X
83,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Craft workers,Beschäftigte im Handwerk,,Inkar,17065,,,2010,2020,,,X
84,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees in IT and science services,Beschäftigte in IT- und naturwissenschaftlichen Dienstleistungsberufen,,Inkar,17806,,,2013,2020,,,X
85,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees in creative industries,Beschäftigte in Kreativbranchen,,Inkar,17061,,,2008,2020,,,X
86,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees in business services,Beschäftigte in unternehmensbezogenen Dienstleistungen,,Inkar,17053,,,2009,2020,,,X
87,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees in knowledge-intensive industries,Beschäftigte in wissensintensiven Industrien,,Inkar,17062,,,2009,2020,,,X
88,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees with a level of requirements Expert,Beschäftigte mit Anforderungsniveau Experte,,Inkar,17524,,,2013,2020,,,X
89,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees with a professional level of qualification,Beschäftigte mit Anforderungsniveau Fachkraft,,Inkar,17525,,,2013,2020,,,X
90,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees with a level of requirements Helpers,Beschäftigte mit Anforderungsniveau Helfer,,Inkar,17526,,,2013,2020,,,X
91,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employees with a level of requirements Specialist,Beschäftigte mit Anforderungsniveau Spezialist,,Inkar,17527,,,2013,2020,,,X
92,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employment rate,Beschäftigtenquote,,Inkar,17508,,,1997,2020,,X,X
93,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employment rate Foreigners,Beschäftigtenquote Ausländer,,Inkar,17507,,,2011,2020,,,X
94,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employment rate women,Beschäftigtenquote Frauen,,Inkar,17511,,,1997,2020,,X,X
95,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employment rate Males,Beschäftigtenquote Männer,,Inkar,17514,,,1997,2020,,X,X
96,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Service rate,Dienstleistungsquote,,Inkar,17051,,,2008,2020,,,X
97,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Activity rate,Erwerbsquote,,Inkar,17515,,,1998,2020,,,X
98,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Activity rate for women,Erwerbsquote Frauen,,Inkar,17516,,,2008,2020,,,X
99,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Activity rate for men,Erwerbsquote Männer,,Inkar,17517,,,2008,2020,,,X
100,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employment Primary sector,Erwerbstätige Primärer Sektor,,Inkar,17056,,,2000,2020,,,X
101,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employment Secondary sector,Erwerbstätige Sekundärer Sektor,,Inkar,17058,,,2000,2020,,,X
102,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Employment Tertiary sector,Erwerbstätige Tertiärer Sektor,,Inkar,17059,,,2000,2020,,,X
103,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Low level of employment 65 years and over,Geringfügig Beschäftigte 65 Jahre und älter,,Inkar,17035,,,2007,2020,,,X
104,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Low level of employment 65 years and over male,Geringfügig Beschäftigte 65 Jahre und älter männlich,,Inkar,17036,,,2007,2020,,,X
105,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Low number of persons employed 65 years and over female,Geringfügig Beschäftigte 65 Jahre und älter weiblich,,Inkar,17037,,,2007,2020,,,X
106,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Industrial rate,Industriequote,,Inkar,17049,,,2008,2020,,,X
107,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Short-time workers,Kurzarbeiter,,Inkar,16046,,,2007,2020,,,X
108,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Rate of younger employees,Quote jüngere Beschäftigte,,Inkar,17509,,,2010,2020,,,X
109,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Rate of older employees,Quote ältere Beschäftigte,,Inkar,17510,,,2005,2020,,,X
110,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Selfemployment rate,Selbständigenquote,,Inkar,17518,,,2000,2020,,,X
111,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Women working part-time,Teilzeitbeschäftige Frauen,,Inkar,17519,,,2012,2020,,,X
112,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Working part-time,Teilzeitbeschäftigte,,Inkar,17506,,,2012,2020,,,X
113,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Underemployment rate,Unterbeschäftigungsquote,,Inkar,14382,,,2011,2019,,,X
114,,Employment and employment,Beschäftigung und Erwerbstätigkeit,,Ratio of young to old working age,Verhältnis junge zu alte Erwerbsfähige,,Inkar,17513,,,1995,2020,,X,X
115,,Population,Bevölkerung,,Old age dependency rate,Abhängigenquote Alte,,Inkar,16987,,,1995,2020,,X,X
116,,Population,Bevölkerung,,Dependent rate young,Abhängigenquote Junge,,Inkar,16945,,,1995,2020,,X,X
117,,Population,Bevölkerung,,Share of foreigners,Ausländeranteil,,Inkar,14707,,,1995,2020,,,X
118,,Population,Bevölkerung,,Women foreigners,Ausländerinnen,,Inkar,16942,,,1995,2020,,,X
119,,Population,Bevölkerung,,External migration balance,Außenwanderungssaldo,,Inkar,14691,,,1995,2020,,,X
120,,Population,Bevölkerung,,Women's external migration balance,Außenwanderungssaldo Frauen,,Inkar,17039,,,2003,2020,,,X
121,,Population,Bevölkerung,,External migration balance Males,Außenwanderungssaldo Männer,,Inkar,17046,,,2003,2020,,,X
122,,Population,Bevölkerung,,Immigrants entering the labour market,Berufseinstiegswanderer,,Inkar,17060,,,1995,2020,,,X
123,,Population,Bevölkerung,,Immigrants from education,Bildungswanderer,,Inkar,17052,,,1995,2020,,,X
124,,Population,Bevölkerung,,Inland migration balance,Binnenwanderungssaldo,,Inkar,14690,,,1995,2020,,,X
125,,Population,Bevölkerung,,Inland migration balance Women,Binnenwanderungssaldo Frauen,,Inkar,17048,,,2003,2020,,,X
126,,Population,Bevölkerung,,Inland migration balance Males,Binnenwanderungssaldo Männer,,Inkar,17050,,,2003,2020,,,X
127,,Population,Bevölkerung,,Volume of internal migration,Binnenwanderungsvolumen,,Inkar,17092,,,1995,2020,,,X
128,,Population,Bevölkerung,,Volume of domestic migration of women,Binnenwanderungsvolumen der Frauen,,Inkar,17106,,,2003,2020,,,X
129,,Population,Bevölkerung,,Volume of men's internal migration,Binnenwanderungsvolumen der Männer,,Inkar,17107,,,2003,2020,,,X
130,,Population,Bevölkerung,,Average age of population,Durchschnittsalter der Bevölkerung,,Inkar,16933,,,1995,2020,,X,X
131,,Population,Bevölkerung,,Divorces,Ehescheidungen,,Inkar,16943,,,2003,2020,,,X
132,,Population,Bevölkerung,,Marriages,Eheschließungen,,Inkar,16944,,,2015,2020,,,X
133,,Population,Bevölkerung,,Naturalisations per foreigner,Einbürgerungen je Ausländer,,Inkar,17026,,,2015,2020,,,X
134,,Population,Bevölkerung,,Naturalisations per inhabitant,Einbürgerungen je Einwohner,,Inkar,17027,,,2015,2020,,,X
135,,Population,Bevölkerung,,One-person households,Einpersonenhaushalte,,Inkar,17007,,,2013,2020,,X,X
136,,Population,Bevölkerung,,Inhabitants 65 years and over,Einwohner 65 Jahre und älter,,Inkar,14688,,,1995,2020,,X,X
137,,Population,Bevölkerung,,Population 75 years and over,Einwohner 75 Jahre und älter,,Inkar,14706,,,1995,2020,,X,X
138,,Population,Bevölkerung,,Inhabitants 85 years and over,Einwohner 85 Jahre und älter,,Inkar,16929,,,2011,2020,,,X
139,,Population,Bevölkerung,,Inhabitants under 3 years of age,Einwohner unter 3 Jahren,,Inkar,16186,,,1995,2020,,X,X
140,,Population,Bevölkerung,,Inhabitants under 6 years,Einwohner unter 6 Jahre,,Inkar,15410,,,1995,2020,,X,X
141,,Population,Bevölkerung,,Inhabitants aged 18 to under 25,Einwohner von 18 bis unter 25 Jahren,,Inkar,16109,,,1995,2020,,X,X
142,,Population,Bevölkerung,,Inhabitants aged 25 to under 30,Einwohner von 25 bis unter 30 Jahren,,Inkar,16126,,,1995,2020,,X,X
143,,Population,Bevölkerung,,Inhabitants from 3 to less than 6 years,Einwohner von 3 bis unter 6 Jahren,,Inkar,16206,,,1995,2020,,X,X
144,,Population,Bevölkerung,,Inhabitants from 30 to less than 50 years of age,Einwohner von 30 bis unter 50 Jahren,,Inkar,16146,,,1995,2020,,X,X
145,,Population,Bevölkerung,,Inhabitants aged 50 to less than 65,Einwohner von 50 bis unter 65 Jahren,,Inkar,16147,,,1995,2020,,X,X
146,,Population,Bevölkerung,,Inhabitants from 6 to under 18 years,Einwohner von 6 bis unter 18 Jahren,,Inkar,15426,,,1995,2020,,X,X
147,,Population,Bevölkerung,,Inhabitants aged 65 to less than 75,Einwohner von 65 bis unter 75 Jahren,,Inkar,16886,,,1995,2020,,X,X
148,,Population,Bevölkerung,,Inhabitants aged 75 to less than 85,Einwohner von 75 bis unter 85 Jahren,,Inkar,16926,,,2011,2020,,,X
149,,Population,Bevölkerung,,Migrant workers,Erwerbswanderer,,Inkar,17091,,,1995,2020,,,X
150,,Population,Bevölkerung,,Family Migrants,Familienwanderer,,Inkar,17090,,,1995,2020,,,X
151,,Population,Bevölkerung,,Fertility rate,Fertilitätsrate,,Inkar,17346,,,1995,2020,,,X
152,,Population,Bevölkerung,,Growth rate,Fortzugsrate,,Inkar,17127,,,1995,2020,,,X
153,,Population,Bevölkerung,,Growth rate for women,Fortzugsrate Frauen,,Inkar,17129,,,2003,2020,,,X
154,,Population,Bevölkerung,,Growth rate for men,Fortzugsrate Männer,,Inkar,17131,,,2003,2020,,,X
155,x,Population,Bevölkerung,,Proportion of women,Frauenanteil,,Inkar,14006,,,1995,2020,,X,X
156,,Population,Bevölkerung,,Proportion of women 20 to less than 40 years,Frauenanteil 20 bis unter 40 Jahre,,Inkar,16989,,,1995,2020,,X,X
157,,Population,Bevölkerung,,Births,Geborene,,Inkar,17334,,,1995,2020,,X,X
158,,Population,Bevölkerung,,Births of young mothers (<20 years),Geburten junger Mütter (<20 Jahre),,Inkar,17347,,,1995,2020,,,X
159,,Population,Bevölkerung,,Births of older mothers (>=40 years),Geburten älterer Mütter (>=40 Jahre),,Inkar,17348,,,1995,2020,,,X
160,,Population,Bevölkerung,,Total net migration,Gesamtwanderungssaldo,,Inkar,15490,,,1995,2020,,X,X
161,,Population,Bevölkerung,,Deceased,Gestorbene,,Inkar,17335,,,1995,2020,,X,X
162,,Population,Bevölkerung,,Households with children,Haushalte mit Kindern,,Inkar,17800,,,2013,2020,,X,X
163,,Population,Bevölkerung,,Household size,Haushaltsgröße,,Inkar,17006,,,2013,2020,,X,X
164,,Population,Bevölkerung,,Life expectancy,Lebenserwartung,,Inkar,17354,,,1995,2020,,,X
165,,Population,Bevölkerung,,Life expectancy for women,Lebenserwartung Frauen,,Inkar,17352,,,1995,2017,,,X
166,,Population,Bevölkerung,,Life expectancy Males,Lebenserwartung Männer,,Inkar,17353,,,1995,2017,,,X
167,,Population,Bevölkerung,,Male entry-level immigrants,Männliche Berufseinstiegswanderer,,Inkar,17087,,,2003,2020,,,X
168,,Population,Bevölkerung,,Male educational migrants,Männliche Bildungswanderer,,Inkar,17057,,,2003,2020,,,X
169,,Population,Bevölkerung,,Natural balance,Natürlicher Saldo,,Inkar,17448,,,1995,2020,,X,X
170,,Population,Bevölkerung,,Survival expectations of 60-year-olds,Restlebenserwartung der 60-Jährigen,,Inkar,17349,,,1995,2020,,,X
171,,Population,Bevölkerung,,Survival expectations of 60-year-old women,Restlebenserwartung der 60-jährigen Frauen,,Inkar,17350,,,1995,2017,,,X
172,,Population,Bevölkerung,,Residual life expectancy of 60-year-old men,Restlebenserwartung der 60-jährigen Männer,,Inkar,17351,,,1995,2017,,,X
173,,Population,Bevölkerung,,Retirement migrants,Ruhestandswanderer,,Inkar,17089,,,1995,2020,,,X
174,,Population,Bevölkerung,,People seeking protection,Schutzsuchende an Bevölkerung,,Inkar,14806,,,2007,2020,,,X
175,,Population,Bevölkerung,,Non-nationals seeking protection,Schutzsuchende an ausländischer Bevölkerung,,Inkar,14807,,,2007,2020,,,X
176,,Population,Bevölkerung,,Shares of votes AfD,Stimmenanteile AfD,,Inkar,16941,,,2017,2021,,,X
177,,Population,Bevölkerung,,Shares of votes CDU/CSU,Stimmenanteile CDU/CSU,,Inkar,16935,,,1998,2021,,,X
178,,Population,Bevölkerung,,Shares of votes The Left,Stimmenanteile Die Linke,,Inkar,16940,,,1998,2021,,,X
179,,Population,Bevölkerung,,Shares of votes FDP,Stimmenanteile FDP,,Inkar,16938,,,1998,2021,,,X
180,,Population,Bevölkerung,,Shares of votes Greens,Stimmenanteile Grüne,,Inkar,16937,,,1998,2021,,,X
181,,Population,Bevölkerung,,Shares of votes SPD,Stimmenanteile SPD,,Inkar,16936,,,1998,2021,,,X
182,,Population,Bevölkerung,,Shares of votes Other parties,Stimmenanteile Sonstige Parteien,,Inkar,16939,,,1998,2021,,,X
183,,Population,Bevölkerung,,Infant mortality (< 1 year),Säuglingssterblichkeit (<1 Jahr),,Inkar,15491,,,2000,2020,,,X
184,,Population,Bevölkerung,,Voter turnout,Wahlbeteiligung,,Inkar,17388,,,1998,2021,,,X
185,,Population,Bevölkerung,,Female entry-level immigrants,Weibliche Berufseinstiegswanderer,,Inkar,17086,,,2003,2020,,,X
186,,Population,Bevölkerung,,Women's educational migrants,Weibliche Bildungswanderer,,Inkar,17054,,,2003,2020,,,X
187,,Population,Bevölkerung,,Female population 65 years and over,Weibliche Einwohner 65 Jahre und älter,,Inkar,16866,,,1995,2020,,X,X
188,,Population,Bevölkerung,,Female population 75 years and over,Weibliche Einwohner 75 Jahre und älter,,Inkar,16167,,,1995,2020,,X,X
189,,Population,Bevölkerung,,Female population 85 years and over,Weibliche Einwohner 85 Jahre und älter,,Inkar,16932,,,2011,2020,,,X
190,,Population,Bevölkerung,,Female population from 18 to under 25 years,Weibliche Einwohner von 18 bis unter 25 Jahren,,Inkar,16826,,,1995,2020,,X,X
191,,Population,Bevölkerung,,Female population aged 25 to under 30,Weibliche Einwohner von 25 bis unter 30 Jahren,,Inkar,16846,,,1995,2020,,X,X
192,,Population,Bevölkerung,,Female population aged 65 to under 75,Weibliche Einwohner von 65 bis unter 75 Jahren,,Inkar,16906,,,1995,2020,,X,X
