,category_de,name_de,algorithmus_de,description_de,statistical_basis_de,category_en,name_en,algorithmus_en,description_en,statistical_basis_en
82,Beschäftigung und Erwerbstätigkeit,Beschäftigte in unternehmensbezogenen Dienstleistungen,"SV Beschäftigte AO in den WZ 62-64, 66, 69, 70-74 <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100 ","Der Anteil der in wissensintensiven unternehmensbezogenen Dienstleistungen tätigen sozialversicherungspflichtig Beschäftigten. Wissensintensive unternehmensbezogene Dienstleistungen nach WZ 2008 sind folgende Abteilungen: 62 (Erbringung v. DL der Informationstechnologie), 63 (Informations-DL), 64 (Finanz-DL), 66 (mit Finanz- und Versicherungs-DL verbundene Tätigkeiten), 69 (Rechts- und Steuerberatung, Wirtschaftsprüfung), 70 (Verwaltung u. Führung v. Unternehmen u. Bertrieben!. Unternehmensberatung), 71 (Architektur- u. Ingenieurbüros, techn., physikal. u. chem. Untersuchung), 72 (Forschung u. Entwicklung), 73 (Werbung u. Marktforschung), 74 (sonst. freiberufl, wissenschaftl. u. techn. Tätigkeiten). Sie zeichnen sich durch humankapitalintensive und nicht standardisierbare Produkte und Leistungen aus, entscheidend ist daher die Mitarbeitkompetenz.Überdurchsnittlich hoher Akademikeranteil. In den letzten Jahren sind gerade in diesem Bereich in umfangreichem Maße Arbeitsplätze entstanden, dadurch verschieben sich die Beschäftigungsstrukturen zugunsten einer höheren Qualifikation. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Employees in business services,"SV Employees AO in WZ 62-64, 66, 69, 70-74 <Time> / SV Employees AO <Time> x 100","The proportion of employees who work in knowledge-intensive business-related services is subject to social insurance. Knowledge-intensive business-related services according to WZ 2008 are the following departments: 62 (delivery by DL of information technology), 63 (information-DL), 64 (financial-DL), 66 (financial- and insurance-DL related activities), 69 (legal and tax advice, auditing), 70 (administrative and management of companies and businesses), 71 (architecture and engineering offices, technology, physics and chemistry), 72 (research and development), 73 (advertising and market research), 74 (otherwise free-lance, science and technology activities). They are characterized by human capital-intensive and non-standardizable products and benefits, therefore the decisive factor is the participation competence.Over the last few years, the proportion of employees in this sector has been increased in terms of jobs, thereby shifting employment structures in favour of a higher qualification. Social security employees are covered by social security, thus employees are covered by the labour force, employees are covered by the law.",Employment statistics of the Federal Employment Agency
83,Beschäftigung und Erwerbstätigkeit,Erwerbstätige Primärer Sektor,Erwerbstätige im Primären Sektor <Zeitpunkt> / Erwerbstätige <Zeitpunkt> x 100,"Der Anteil der im primären Sektor tätigen Erwerbstätigen. Der primäre Sektor umfasst den Wirtschaftsabschnitt (WZ 2008, NACE Rev. 2) A (Land- und Forstwirtschaft, Fischerei). Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige. Daten für Frankreich ohne französische Überseegebiete. ",Arbeitskreis Erwerbstätigenrechnung der Länder,Employment and employment,Employment Primary sector,Employment in the primary sector < point> / Employment < point> x 100,"The primary sector comprises the economic section (EZ 2008, NACE Rev. 2) A (Agriculture, forestry and fisheries). The employed persons are persons who have been employed during the reference week and for whom they have received remuneration in the form of wages or other income, including those who were employed but were temporarily absent from the job. This includes self-employed persons as well as assisting family members. Data for France excluding French overseas territories.",Working group on the employment accounts of the countries
84,Beschäftigung und Erwerbstätigkeit,Erwerbstätige Sekundärer Sektor,Erwerbstätige im Sekundären Sektor <Zeitpunkt> / Erwerbstätige <Zeitpunkt> x 100,"Der Anteil der im sekundären Sektor tätigen Erwerbstätigen. Der sekundäre Sektor umfasst das Produzierende Gewerbe und damit die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) B, C, D, E, F. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige. Daten für Frankreich ohne französische Überseegebiete. ",Arbeitskreis Erwerbstätigenrechnung der Länder,Employment and employment,Employment Secondary sector,Employment in the secondary sector < point of time> / Employment < point of time> x 100,"The secondary sector comprises the manufacturing sector and thus the branches of the economy (WZ 2008, NACE Rev. 2) B, C, D, E, F. Persons in employment are persons who have been employed during the reference week for whom they have received remuneration in the form of wages or other income, including those who were employed but were temporarily absent from the job. Thus, self-employed persons and assisting family members are also included. Data for France excluding French overseas territories.",Working group on the employment accounts of the countries
85,Beschäftigung und Erwerbstätigkeit,Erwerbstätige Tertiärer Sektor,Erwerbstätige im Tertiären Sektor <Zeitpunkt> / Erwerbstätige <Zeitpunkt> x 100,"Der Anteil der im tertiären Sektor tätigen Erwerbstätigen. Der tertiäre Sektor umfasst den Dienstleistungssektor und damit die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) G bis T. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige. Daten für Frankreich ohne französische Überseegebiete. ",Arbeitskreis Erwerbstätigenrechnung der Länder,Employment and employment,Employment Tertiary sector,Employment in the tertiary sector < point> / Employment < point> x 100,"The tertiary sector comprises the services sector and thus the economic sectors (EZ 2008, NACE Rev. 2) G to T. Persons in employment are persons who have been employed during the reference week for whom they have received remuneration in the form of wages or other income, including those who were employed but were temporarily absent from the job, including self-employed persons and family workers. Data for France excluding French overseas territories.",Working group on the employment accounts of the countries
86,Beschäftigung und Erwerbstätigkeit,Beschäftigte in Kreativbranchen,SV Beschäftigte AO in Kreativbranchen <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Der Anteil der in Kreativbranchen tätigen sozialversicherungspflichtig Beschäftigten. Die Abgrenzung der Kultur- und Kreativwirtschaft erfolgt nach dem Arbeitskreis Kulturstatistik e.V. anhand der Klassifikation der Wirtschaftszweige (WZ 2008): Verlagsgewerbe, Filmwirtschaft, Tonträgerindustrie/Musikverlage, Rundfunkwirtschaft, kulturelle Wirtschaftszweige, Bibliotheken/Museen, Handel mit Kulturgütern, Architektur, Design, Werbung, Software/Games. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Besonders in der Kreativwirtschaft sind häufig Freiberufler und Selbstständige tätig, weswegen die SV Beschäftigten insbesondere für diese Gruppe nur eine eingeschränkte Aussagekraft aufweisen. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Employees in creative industries,SV Employees AO in creative industries <Point of time> / SV Employees AO <Point of time> x 100,"The proportion of employees liable to social security contributions in creative industries is determined according to the Working Group on Cultural Statistics e.V. according to the classification of economic activities (WZ 2008): publishing industry, film industry, sound recording industry/music publishing, broadcasting industry, cultural sectors, libraries/museums, trade in cultural goods, architecture, design, advertising, software/games. Employees liable to social security contributions are workers, employees and persons in vocational training who are compulsory insured in the statutory pension, health and/or unemployment insurance. This does not include civil servants, self-employed persons, family workers or minor employees. Overall, only about 75% of all employees are covered. Despite this restriction, employees liable to social insurance contributions are used as a measure of the jobs available to the labour market. Especially in the creative industry, freelancers and self-employed persons are often active, which is why the SV employees in particular have a limited say for this group.",Employment statistics of the Federal Employment Agency
87,Beschäftigung und Erwerbstätigkeit,Beschäftigte in wissensintensiven Industrien,"SV Beschäftigte AO in den WZ 20, 21, 26-30 <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100 ","Der Anteil der in wissens- bzw. forschungsintensiven Industrien tätigen sozialversicherungspflichtig Beschäftigten. Er ist ein Hinweis auf technologische Leistungsfähigkeit und hat einen hohen Akademikeranteil unter den Beschäftigten. Wissens- bzw. forschungsintensive Industrien (nach WZ 2008, NIW/ISI/ZEW-Liste 2010) sind folgende Abteilungen: 20 (Herst. v. chem. Erzeugnissen), 21 (Herst. v. pharmazeut. Erzeugnissen), 26 (Herst. v. Datenverarbeitungsgeräten, elektron. u. optischen Erzeugnissen), 27 (Herst. v. elektrischen Ausrüstungen), 28 (Maschinenbau), 29 (Herst. v. Kraftwagen u. Teilen), 30 (sonst. Fahrzeugbau). Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Employees in knowledge-intensive industries,"SV Employees AO in WZ 20, 21, 26-30 <Time> / SV Employees AO <Time> x 100","The proportion of employees in knowledge-intensive or research-intensive industries who are subject to social insurance. It is a reference to technological performance and has a high share of academics among the employees. Knowledge-intensive or research-intensive industries (according to WZ 2008, NIW/ISI/ZEW list 2010) are the following divisions: 20 (manufacture of chemical products), 21 (manufacture of pharmaceutical products), 26 (manufacture of data-processing equipment, electronic and optical products), 27 (manufacture of electrical equipment), 28 (machinery), 29 (manufacture of motor vehicles and parts), 30 (other motor vehicles). Social security employees are workers, employees and persons in vocational training who are covered by statutory pension, health and/or unemployment insurance. Thus, no account is taken here of civil servants, self-employed, assisting family members or marginally employed persons. Overall, only around 75% of all employees are covered. Despite this restriction, the social insurance employees are employed as a measure of the labour market.",Employment statistics of the Federal Employment Agency
88,Beschäftigung und Erwerbstätigkeit,Anteil Erwerbstätige Verarbeitendes Gewerbe an Industrie,Erwerbstätige im Verarbeitenden Gewerbe <Zeitpunkt> / Erwerbstätige im Sekundären Sektor <Zeitpunkt> x 100,"Der Anteil der Erwerbstätigen im Verarbeitenden Gewerbe an den Erwerbstätigen im sekundären Sektor. Der sekundäre Sektor umfasst das Produzierende Gewerbe und damit die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) B, C, D, E, F. Das Verarbeitende Gewerbe umfasst den Wirtschaftsabschnitt (WZ 2008, NACE Rev. 2) C. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige.",Arbeitskreis Erwerbstätigenrechnung der Länder,Employment and employment,Share of total employment Manufacturing in industry,Employment in manufacturing < point> / Employment in secondary sector < point> x 100,"The proportion of persons employed in manufacturing in the secondary sector. The secondary sector comprises the manufacturing sector and thus the branches of the economy (WZ 2008, NACE Rev. 2) B, C, D, E, F. The manufacturing sector comprises the branch of the economy (WZ 2008, NACE Rev. 2) C. Persons in employment are persons who have been employed during the reference week for whom they have received remuneration in the form of wages or other income, including those who were in employment but were temporarily absent from the job. Thus, self-employed persons and family workers are also included.",Working group on the employment accounts of the countries
89,Beschäftigung und Erwerbstätigkeit,Anteil Erwerbstätige Finanz- und Unternehmensdienstleistungen,"Erwerbstätige Finanz-, Versicherungs- und Unternehmensdienstleister!. Grundstücks- und Wohnungswesen < Zeitpunkt> / Erwerbstätige in Dienstleistungsbereichen <Zeitpunkt>  x 100","Der Anteil der Erwerbstätigen in Finanz-, Versicherungs- und Unternehmensdienstleistungen sowie im Grundstücks- und Wohnungswesen an den Erwerbstätigen im Tertiären Sektor. Der tertiäre Sektor umfasst den Dienstleistungssektor und damit  die Wirtschaftsabschnitte (WZ 2008, NACE Rev. 2) G bis T. Erwerbstätige sind Personen, die während der Referenzwoche einer Beschäftigung nachgegangen sind, für die sie ein Entgelt in Form von Lohn oder sonstigen Einkünften erhalten haben, einschließlich derjenigen, die in einem Arbeitsverhältnis standen, aber vorübergehend vom Arbeitsplatz abwesend waren. Eingeschlossen sind also auch Selbstständige sowie mithelfende Familienangehörige.",Arbeitskreis Erwerbstätigenrechnung der Länder,Employment and employment,Share of employment Financial and business services,"Employment Financial, insurance and business services!. Real estate and housing < point> / Employment in services < point> x 100","The share of employment in financial, insurance and business services, as well as in real estate and housing in employment in the tertiary sector. The tertiary sector comprises the services sector and thus the economic sectors (EZ 2008, NACE Rev. 2) G to T. The employed persons are persons who have been employed during the reference week for whom they have received remuneration in the form of wages or other income, including those who were employed but were temporarily absent from the job. Thus, self-employed persons and family workers are also included.",Working group on the employment accounts of the countries
90,Beschäftigung und Erwerbstätigkeit,Beschäftigte im Handwerk,SV Beschäftigte AO in Handwerksbetrieben <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Der Anteil der im Handwerk tätigen sozialversicherungspflichtig Beschäftigten. Bei der Handwerkszählung werden nur selbstständige Handwerksunternehmen die aus handels- bzw. steuerrechtlichen Gründen Bücher führen müssen einbezogen. Sie müssen weiterhin bei der Handwerkskammer geführt werden, mindestens einen sozialversicherungspflichtig Beschäftigten sowie einen steuerbaren Umsatz von 17.500 € im Jahr erwirtschaftet haben. Stichtag der Handwerkszählung ist der 31.12. eines Jahres. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Es handelt sich um SV Beschäftigte am Arbeitsort.",Handwerkszählung des Bundes und der Länder,Employment and employment,Craft workers,SV Employees AO in craft enterprises < point of time> / SV Employees AO < point of time> x 100,"The proportion of employees liable to social security contributions in the craft trades. In the craft census, only self-employed craft enterprises that keep books for commercial or tax reasons will have to be included. They must continue to be kept at the Chamber of Crafts, at least one employee liable to social security contributions and a taxable turnover of € 17,500 per year. The reference date for the craft census is 31 December of a year. Employees liable to social security contributions are workers, employees and persons in vocational training who are covered by the statutory pension, sickness and/or unemployment insurance. No consideration is therefore given here to civil servants, self-employed persons, assisting family members or marginally employed persons. Overall, only about 75% of all employees are covered. Despite this restriction, the employees liable to social insurance contributions are used as measures of the jobs available to the labour market. They are SV employees at the place of work.",Craft census of the federal and state governments
91,Beschäftigung und Erwerbstätigkeit,Teilzeitbeschäftigte,SV Beschäftigte AO (Teilzeit) <Zeitpunkt> / SV Beschäftigte AO <Zeitpunkt> x 100,"Ausmaß der Teilzeitbeschäftigung (nach Klassifikation der Berufe 2010) der sozialversicherungspflichtig Beschäftigten am Arbeitsort in %. Teilzeitbeschäftigungsverhältnisse sind nach wie vor durch hohe Frauenanteile charakterisiert. Der Indikator kann ein Hinweis auf 'moderne' Strukturbedingungen (bspw. Vereinbarkeit von Familie und Erwerbsleben) sein. Allerdings gibt es hierunter auch unfreiwillig Teilzeitbeschäftigte, die gerne Vollzeit arbeiten würden, jedoch keine entsprechende Stelle auf dem Arbeitsmarkt finden. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Working part-time,SV Employees AO (partial time) < point> / SV Employees AO < point> x 100,"The extent of part-time employment (according to the classification of occupations 2010) of employees with social insurance obligations at the place of work as a %. Part-time employment is still characterised by high female shares. The indicator can be a reference to'modern' structural conditions (e.g. reconciliation of family and working life). However, there are also involuntarily part-time employees who would like to work full-time but do not find a corresponding job on the labour market. Social security employees are workers, employees and persons in vocational training who are compulsory insured in the statutory pension, health and/or unemployment insurance. No consideration is therefore given here to civil servants, self-employed persons, family workers or small employees. Overall, only about 75% of all employees are covered. Despite this restriction, employees with social insurance obligations are used as a measure of the jobs available to the labour market.",Employment statistics of the Federal Employment Agency
92,Beschäftigung und Erwerbstätigkeit,Beschäftigtenquote Ausländer,(ausländische SV Beschäftigte WO <Zeitpunkt> / ausländische E 15 -< 65 Jahre <Zeitpunkt> ) / (SV Beschäftigte WO <Zeitpunkt> / E 15 -< 65 Jahre <Zeitpunkt> ) ) x 100,"Die Beschäftigungsquote von Ausländerinnen und Ausländern ist definiert als der Anteil an Personen nichtdeutscher Staatsangehörigkeit, der sozialversicherungspflichtig beschäftigt ist. Der betrachtete Indikator setzt diese Quote ins Verhältnis zur Beschäftigungsquote innerhalb der Gesamtbevölkerung und lässt auf diese Weise Rückschlüsse über die Positionierung von Ausländerinnen und Ausländern am deutschen Arbeitsmarkt zu. Der Indikator bildet das Ziel mit leichten Einschränkungen ab. Die Betrachtung der Beschäftigungsquote von Ausländerinnen und Ausländern gibt zwar Hinweise auf deren wirtschaftliche Inklusion, die gesamte Inklusion im politischen und sozialen Sinne ist hierdurch jedoch noch nicht abgedeckt. Ebenso können Einwanderer zwar grundsätzlich im Arbeitsmarkt integriert (d.h. in Beschäftigung sein), aber immer noch von Diskriminierung (z.B. in der Form niedrigerer Löhne) betroffen sein. Bei der Bezugsgröße Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Es bestehen leichte Unterschiede zu den im „Wegweiser Kommune“/SDG-Portal der Bertelsmann-Stiftung veröffentlichten Werte, die sich durch eine unterschiedliche Behandlung von Gebietsstandsänderungen sowie Rückrechnungen der Bevölkerung nach Altersklassen ergeben.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Employment rate Foreigners,(foreign SV employees WO < time point> / foreign E 15 - < 65 years < time point> ) / (SV employees WO < time point> / E 15 - < 65 years < time point> ) x 100,"The employment rate of foreigners is defined as the proportion of persons of non-German nationality employed under social insurance. The indicator sets this rate in relation to the employment rate of foreigners within the total population and thus allows conclusions to be drawn about the positioning of foreigners on the German labour market. The indicator sets out the objective with slight restrictions. The consideration of the employment rate of foreigners gives indications of their economic inclusion, however, the entire inclusion in the political and social sense is not yet covered. Likewise, while immigrants can be integrated in the labour market (i.e. in employment), still be affected by discrimination (e.g. in the form of lower wages). With regard to the reference population, it should be noted that the figures published before 2011 on the continuation of the 1987 (BRD) and 1981 (DDR) census and from 2011 on the basis of the 2011 census there are slight differences with those published in the ""Wegweiter Kommune""/SDG portal of the Bertelsmann Foundation, which refer to the treatment of the population of different age groups as well as to the treatment of the population of different age groups.",Employment statistics of the Federal Employment Agency
93,Beschäftigung und Erwerbstätigkeit,Beschäftigtenquote,SV Beschäftigte im Alter von 15 bis 64 Jahren am Wohnort <Zeitpunkt> / E 15 -< 65 Jahre <Zeitpunkt> x 100,"Die Beschäftigungsquote gibt den Anteil der sozialversicherungspflichtig Beschäftigten an der erwerbsfähigen Gesamtbevölkerung an. Sie lässt Rückschlüsse auf die soziale Situation der Bevölkerung zu. Eine hohe Beschäftigungsquote sichert die wirtschaftliche und soziale Inklusion und ist Grundvoraussetzung für eine eigenständige Lebensplanung sowie gesellschaftliche Teilhabe. Dem Prinzip der Ganzheitlichkeit folgend, hat die Beschäftigungsquote auch eine große Bedeutung für die Zukunftsfähigkeit einer Kommune und steht in enger Verbindung zwischen der ökonomischen, ökologischen und sozialen Dimension. Bei der Bezugsgröße Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Es bestehen leichte Unterschiede zu den im „Wegweiser Kommune“/SDG-Portal der Bertelsmann-Stiftung veröffentlichten Werte, die im unterschiedlichen Umgang mit Gebietsstandsumrechnungen und Geheimhaltungsfällen resultieren.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Employment rate,SV Employees aged 15 to 64 at the place of residence < point of time> / E 15 -< 65 years < point of time> x 100,"The employment rate indicates the proportion of employees liable to social security contributions in the working population. It allows conclusions to be drawn about the social situation of the population. A high employment rate ensures economic and social inclusion and is a prerequisite for independent life planning and social participation. In line with the principle of holisticity, the employment rate is also of great importance for the future viability of a municipality and is closely linked to the economic, ecological and social dimension. In the reference population, it should be noted that the figures before 2011 refer to the continuation of the population census 1987 (BRD) and 1981 (DDR) and from 2011 to the continuation of the 2011 census. There are slight differences to the values published in the ""Wegweiser Kommune""/SDG portal of the Bertelsmann Foundation, which result in the different treatment of territorial calculations and confidentiality cases.",Employment statistics of the Federal Employment Agency
94,Beschäftigung und Erwerbstätigkeit,Quote jüngere Beschäftigte,SV Beschäftigte WO 15 bis unter 30 Jahre <Zeitpunkt> / E 15 -< 30 Jahre <Zeitpunkt> x 100,"Der Indikator gibt die SV Beschäftigten am Wohnort im Alter von 15 bis 30 Jahren je 100 Einwohner dieser Altersgruppe an. Ein hoher Anteil ist ein Hinweis auf eine eher 'junge' Beschäftigtenstruktur und ein Maß für potenzielle Ressourcen auf dem Arbeitsmarkt. Sozialversicherungspflichtig Beschäftigte sind Arbeiter, Angestellte und Personen in beruflicher Ausbildung, die in der gesetzlicher Renten-, Kranken- und/oder Arbeitslosenversicherung pflichtversichert sind. Keine Berücksichtigung finden hier also Beamte, Selbständige, mithelfende Familienangehörige oder geringfügig Beschäftigte. Insgesamt werden so nur rund 75% aller Erwerbstätigen erfasst. Trotz dieser Einschränkung werden die sozialversicherungspflichtig Beschäftigten als Maß der dem Arbeitsmarkt zur Verfügung stehenden Arbeitsplätze verwendet. Bei der Bezugsgröße der 15- bis unter 30-Jährigen ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Bei den Beschäftigten handelt es sich um Zahlen zum Stichtag 30.06., bei der Bevölkerung um Zahlen zum Stichtag 31.12. des Jahres.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Rate of younger employees,SV Employees WO 15 to under 30 years < point> / E 15 -< 30 years < point> x 100,"The indicator gives the SV employees at the place of residence at the age of 15 to 30 per 100 inhabitants of this age group. A high percentage is an indication of a rather 'young' employment structure and a measure of potential resources on the labour market. Social security employees are workers, employees and persons in vocational training who are compulsory insurance in the statutory pension, sickness and/or unemployment insurance. Thus, no consideration is given here to civil servants, self-employed persons, family workers or minor employees. Overall, only about 75% of all employees are covered. Despite this restriction, the social insurance employees are used as a measure of the employment available to the labour market. The reference size of the 15- to under 30-year-olds should be taken into account, that the figures before 2011 refer to the continuation of the 1987 census (BRD) and 1981 (DDR) and from 2011 to the continuation of the census on the basis of 2011. The employees are figures as at the reference date 30.06., the population are figures as at the reference date 31.12. of the year.",Employment statistics of the Federal Employment Agency
95,Beschäftigung und Erwerbstätigkeit,Quote ältere Beschäftigte,SV Beschäftigte im Alter von 55 bis 64 Jahren am Wohnort <Zeitpunkt> / E 55 -< 65 Jahre <Zeitpunkt> x 100,"Die Beschäftigungsquote 55- bis 64-Jähriger gibt den Anteil der sozialversicherungspflichtigen Beschäftigten an der Gesamtbevölkerung gleichen Alters an. Sie lässt Rückschlüsse auf die Erwerbschancen einer demographischen Gruppe zu, die nach Arbeitslosigkeit oft nur unter großen Anstrengungen wieder in das Berufsleben zurückfindet. Dies hat mitunter erhebliche Auswirkungen auf die soziale und gesundheitliche Situation. Eine hohe Beschäftigungsquote dieser Altersgruppe sichert die wirtschaftliche und soziale Inklusion im Sinne der Sicherstellung einer eigenständigen Lebensplanung sowie gesellschaftlicher Teilhabe. Bei der Bezugsgröße Bevölkerung ist zu beachten, dass sich die Zahlen vor 2011 auf die Fortschreibung auf Basis der Volkszählung 1987 (BRD) und 1981 (DDR) und ab 2011 auf die Fortschreibung auf Basis des Zensus 2011 beziehen. Es bestehen leichte Unterschiede zu den im „Wegweiser Kommune“/SDG-Portal der Bertelsmann-Stiftung veröffentlichten Werte, die im unterschiedlichen Umgang mit Gebietsstandsumrechnungen und Geheimhaltungsfällen resultieren.",Beschäftigtenstatistik der Bundesagentur für Arbeit,Employment and employment,Rate of older employees,SV Employees aged 55 to 64 at the place of residence < point of time> / E 55 -< 65 years < point of time> x 100,"The employment rate of 55-64-year-olds indicates the proportion of employees liable to social security contributions in the total population of the same age. It allows conclusions to be drawn about the employment opportunities of a demographic group, which often returns to working life only with great efforts after unemployment. This sometimes has a significant impact on the social and health situation. A high employment rate of this age group ensures economic and social inclusion in order to ensure independent life planning as well as social participation. In the reference population, it should be noted that the figures before 2011 refer to the continuation on the basis of the 1987 census (BRD) and 1981 (DDR) and from 2011 to the continuation on the basis of the 2011 census. There are slight differences to the values published in the ""Wegweiser Kommune""/SDG portal of the Bertelsmann Foundation, which result in different approaches to territorial transfers and confidentiality cases.",Employment statistics of the Federal Employment Agency
