Bereich,ID,Indikator,Raumbezug,Kennziffer,Name,Zeitbezug,Wert
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2006,2670.43
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2007,2758.77
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2008,2775.4
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2009,2780.78
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2010,2852.12
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2011,2945.95
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2012,2982.53
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2013,3048.4
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2014,3155.96
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2015,3297.86
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2016,3271.3
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2017,3373.14
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2018,3519.98
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2019,3546.33
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,002,Kiel,2020,3541.94
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2000,2467.36
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2001,2472.86
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2002,2512.27
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2003,2535.26
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2004,2601.25
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2005,2601.81
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2006,2690.88
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2007,2738.32
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2008,2788.58
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2009,2695.55
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2010,2770.42
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2011,2844.41
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2012,2879.87
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2013,2984.83
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2014,3094.25
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2015,3069.82
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2016,3341.5
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2017,3308.28
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2018,3407.98
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2019,3516.1
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,003,Lübeck,2020,3605.03
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2000,2465.1
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2001,2484.24
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2002,2639.08
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2003,2638.59
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2004,2733.96
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2005,2648.32
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2006,2710.0
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2007,2910.92
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2008,2913.13
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2009,2834.78
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2010,2879.41
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2011,3005.33
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2012,3091.57
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2013,3330.28
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2014,3286.89
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2015,3314.35
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2016,3324.99
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2017,3418.48
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2018,3437.7
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2019,3599.66
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,004,Neumünster,2020,3492.05
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2000,2695.13
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2001,2755.48
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2002,2738.14
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2003,2799.31
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2004,2897.97
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2005,2916.71
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2006,2923.42
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2007,2964.97
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2008,2898.7
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2009,2832.9
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2010,2904.73
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2011,3031.72
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2012,2969.05
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2013,3043.81
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2014,3109.45
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2015,3166.06
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2016,3230.41
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2017,3288.4
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2018,3447.63
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2019,3491.27
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,005,Dithmarschen,2020,3456.2
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2000,2233.11
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2001,2281.02
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2002,2337.59
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2003,2395.88
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2004,2399.26
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2005,2417.07
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2006,2472.15
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2007,2506.07
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2008,2445.32
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2009,2524.44
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2010,2626.46
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2011,2708.7
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2012,2709.7
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2013,2730.18
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2014,2790.77
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2015,2826.09
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2016,2880.18
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2017,2974.11
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2018,2989.01
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2019,3037.71
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,006,Nordfriesland,2020,3058.09
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2000,2589.37
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2001,2650.59
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2002,2645.54
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2003,2736.34
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2004,2751.46
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2005,2791.96
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2006,2796.53
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2007,2782.78
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2008,2970.9
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2009,2871.38
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2010,2976.87
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2011,3022.54
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2012,3049.58
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2013,3126.13
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2014,3163.93
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2015,3211.04
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2016,3331.52
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2017,3426.45
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2018,3553.9
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2019,3598.19
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,007,Segeberg,2020,3670.71
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2000,2438.52
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2001,2605.52
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2002,2658.83
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2003,2642.21
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2004,2666.86
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2005,2653.85
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2006,2691.84
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2007,2759.27
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2008,2770.84
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2009,2697.33
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2010,2775.05
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2011,2800.8
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2012,2864.67
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2013,3051.07
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2014,2987.39
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2015,3094.03
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2016,3060.99
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2017,3097.95
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2018,3260.8
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2019,3331.66
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,008,Steinburg,2020,3264.96
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2000,2465.99
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2001,2537.79
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2002,2550.06
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2003,2575.18
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2004,2603.83
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2005,2615.84
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2006,2678.35
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2007,2760.71
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2008,2857.03
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2009,2697.24
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2010,2562.05
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2011,2910.68
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2012,2944.68
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2013,3042.83
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2014,3158.65
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2015,3242.83
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2016,3267.73
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2017,3339.88
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2018,3389.32
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2019,3504.88
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,009,Herzogtum Lauenburg,2020,3478.36
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2000,2982.88
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2001,3055.77
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2002,3089.96
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2003,3170.46
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2004,3209.21
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2005,3255.54
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2006,3298.4
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2007,3390.99
Privateinkommen und private Schulden,17479,Bruttoverdienst im Produzierenden Gewerbe,Arbeitsmarktregionen,010,Hamburg,2008,3455.12
