ID;Name;Source;Study Location;Geographical Unit;Study Period;Time Unit;Number of cases;Variables;Qualitative/Quantitative;Secondary or primary data;Agggregated/Individual Data;Access;Cost;URL;Contact Details;Data Quality/ Limitations;Comments;Contributor;Topic
11;Regional Monitor Cromprehensive Wellbeing 2022 (In Dutch: Regionale Monitor Brede Welvaart 2022) ;CBS Statline;Whole of the Netherlands; Provinces (NUTS2), COROP (NUTS3), Municipalities;2013-2021;yearly;1 number per  region/municipality/province every year;Subjective Wellbeing (0-100) , Greenhouse gas emission per capita etc. See overview of indicators used https://www.cbs.nl/nl-nl/visualisaties/regionale-monitor-brede-welvaart/beschrijving-indicatoren;quantitative;primary/secondary;aggregate (but also at municipal level, which are ;open access;no cost;https://www.cbs.nl/nl-nl/visualisaties/regionale-monitor-brede-welvaart/downloads;contactcenter@cbs.nl;No further comments;"Contains information on all variables. For further information see the data link and tab (In Dutch only) ""Technische toelichting"" & Beschrijving indicatoren";Martin;Wellbeing
12;Healthcare costs claims health insurance law (In Dutch: Verschillende kostensoorten);Vektis;Whole of the Netherlands;Postcode (ZIP-code at 3 digits), Municipality;2011-2020;yearly;137261 For Zip-code, 13062 for municipalities;Number of people (per age/gender/area group), costs for healthcare categories (ALL ONLY IN DUTCH);quantitative;primary;aggregate (total healthc clames per category at health insurance companies for all individual of a specific age category per gender per ZIP-code or municipality);open access;no cost;https://www.vektis.nl/open-data;https://www.vektis.nl/support/contact;Inaccessible without request;Data is only available in Dutch. More information on categories in provided in: https://www.vektis.nl/uploads/Docs%20per%20pagina/Open%20Data%20Bestanden/2020/Bijsluiter%20bij%20de%20Vektis%20Open%20Databestanden%20Zorgverzekeringswet%202011%20-%202020%20.pdf;Martin;Health care
13;Covid Health Monitor Youth 2021 (In Dutch: Corona Gezondheidsmonitor Jeugd 2021);RIVM;Whole of the Netherlands;Postcode (ZIP-code 4 digits) OR Province (NUTS2) OR Place of Residence OR GGD-region;2021;N/A;166.252 persons of 12-17 years old;personal health related indicators and questions;quantitative/qualitative;primary;individual data;public data;no cost;https://statline.rivm.nl/#/RIVM/nl/dataset/50092NED/table;gezondheidsmonitor@rivm.nl OR monitorgezondheid@ggdghor.nl ;No further comments;Data is only available in Dutch.;Martin;Covid-19
14;"Dutch National Vaccination programme, vaccination type, region (2022 division) (In Dutch: Rijksvaccinatieprogramma; soort vaccinatie, regio (indeling 2022)";RIVM;Whole of the Netherlands;Whole of the country, GGD-regions, Municipalities (per GGD-region);2006-2022;yearly;1 per area per year;Persons, vaccinated persons, vaccination rate (in %);quantitative;primary;aggregate data;public data;no cost;https://statline.rivm.nl/#/RIVM/nl/dataset/50093NED/table?ts=1684848496343;info@vzinfo.nl;Missing observations for some years since vaccination not introduced at the start of observation period.;Data is only available in Dutch;Martin;Vaccinations
15;"Number of deaths by sex, age, region and marital status. (In Dutch: Overledenen; geslacht, leeftijd, burgerlijke staat, regio
Gewijzigd op
)";CBS;The Netherlands;From larger regions, to COROP and municipalities.;1988-2021;Yearly;Mortality counts per selected age groups;Number of deaths in which you can specify marital status, gender and age (and of course region).;quantitative;Primary;Aggregated data;Public data;Free;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/03747/table?ts=1686580100160;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No futher comments;Only in Dutch.;Karin;Death
16;"Registered donors (In Dutch: Donorregistratie; regio (indeling 2019), 2014-2020)";CBS;The Netherlands;From larger regions, to COROP and municipalities.;2014-2020;One can filter/view the data per year.;Not specified.;The number of (non-)registered donors, the type of consent (e.g. family decides), and the regions.;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/84485NED/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only available in Dutch. It also appears that you cannot view multiple years simultaneously, which is quite disappointing. This dataset also does not allow to include factors such as age/gender.;Karin;Organ donations?
17;"Medical professionals; specialization, position in the labour market, age & region (In Dutch: Medisch geschoolden; specialisme, arbeidspositie, leeftijd, woonregio)";CBS;The Netherlands;"From larger regions (provinces), to ""Regioplus arbeidsmarktregio's"", which appear slightly similar to the COROP regions.";2013-2021;Per year.;Not specified.;"Whether someone is an employee or self-employed/freelancer, several medical jobs (7 are specified), age groups (<25, 25-30, ..., >70). One can also specify whether someone receives benefits (within the ""overige sociaaleconomische categorieën). ";quantitative;Primary (data originate from the BIG-register);Aggregated;Public data;Free;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/84779NED/table?ts=1686651566540;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only available in Dutch.;Karin;Medical workforce
18;"People on medication (In Dutch: Personen met verstrekte geneesmiddelen; regio (gemeente))";CBS;The Netherlands;Provinces, COROP, municipalities and GGD regions.;2013-2021;Per year.;Not specified.;The percentage of users of several drugs per region, age and gender.;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/83251NED/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only available in Dutch.;Karin;Medicine/Drugs
19;"Mortality by cause of death (In Dutch: Overledenen; belangrijke doodsoorzaken (korte lijst), regio)";CBS;The Netherlands;Province/COROP/municipality;1996-2021;Per year.;Not specified.;18 categories of cause of death (per region), gender and age;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/80202ned/table?ts=1686656997710;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only available in Dutch. There is another one as well, which distinguishes less causes, see: https://opendata-cbs-nl.proxy-ub.rug.nl/statline/#/CBS/nl/dataset/80142ned/table?ts=1685629699578. This dataset does not include age/sex, which is why I decided to include the other one here.;Karin;Death
20;"Defaulters regarding health insurance (In Dutch: Zorgverzekeringswet; wanbetalers naar regio per 31 december)";CBS;The Netherlands;Province/COROP/municipality;2010-2021;Per year.;Not specified.;"The amount of defaulters; in absolute as well as relative numbers per region. ";quantitative;"I think primary? CBS got the data from: CAK; BRP and their own data, but they did not use a readily available dataset by others.";Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/81064ned/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only in Dutch, and contrary to most of CBS's datasets, there are no additional contextual variables available.;Karin;Health care
21;"Hospital admissions ISHMT (In Dutch: Ziekenhuisopnamen; diagnose-indeling ISHMT, regio)";CBS;The Netherlands;Province/COROP/municipality/GGD regions;2013-2019;yearly;Not specified.;Hospital admissions (absolute and per 10.000), admission type, diagnosis, gender and age.;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/84521NED/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;"ISHMT stands for: ""International Shortlist for Hospital Morbidity Tabulation"". There is also a dataset of VTV hospital admissions, which can be consulted here: https://opendata-cbs-nl.proxy-ub.rug.nl/statline/#/CBS/nl/dataset/84523NED/table?ts=1685631009921. VTV stands for ""Volksgezondheid Toekomstverkenningen"".";Karin;Hospitals
22;Groningen Panel (In Dutch: Groningener Panel);Social Planning Bureau Groningen (In Dutch: sociaal planbureau groningen) (CMO-STAMM);Groningen;Groningen, municipality;2013-present day;depends on topic (10 times a year);About 7,000;Mental heatlh of young people, drugs in the environment of young people, broad prosperity and young people, consequences of the corona crisis, geriatric care and other care services, health literacy of seniors;quantitative/qualitative;Primary;Individual;Private Data;On request;https://sociaalplanbureaugroningen.nl/over-het-groninger-panel/;info@sociaalplanbureaugroningen.nl;NA;"Only a selection of indicators, on a given theme, can be obtained on request.Data only available in Dutch. Note, that some data comes from the CBS (aggregate level; municipality)";Martin;young people, elderly, corona
23;"Drenthe Panel (In Dutch; Drents Panel)";Drenthe Trending Bureau (In Dutch: drents trendbureau) (CMO-STAMM);Drenthe;Drenthe, municipality;2020-present day;depends on topic (10 times a year);About 6,000;Consequences of the corona crisis, wishes and needs for elderly people living at home, living independently for longer;quantitative/qualitative;Primary;Individual;Private Data;On request ;https://trendbureaudrenthe.nl/over-het-drents-panel/;info@trendbureaudrenthe.nl;NA;"Only a selection of indicators, on a given theme, can be obtained on request.Data only available in Dutch. Note that there has been a previous panel called Drents parlement since 2005 which ended in 2020. Note, that some data comes from the CBS (aggregate level; municipality). ";Martin;corona, elderly
24;Lifelines Biobank;LifeLines Biobank;Groningen, Friesland, Drenthe;Unclear;Depends on sample used;Depends on topic;Sample of about 167,000;Topics: Work, health, personality, BMI, blood pressure, lung function, cognitive abilities, blood samples, feces samples, urine samples etc....;quantitative/qualitative;Primary;Individual;Private data;>0;https://www.lifelines.nl;onderzoek@lifelines.nl;NA;Lifelines has contextual and health data from a panel of residents in the Northern-Netherlands. Note that there is was a COVID panel. For costs see: https://www.lifelines.nl/researcher/how-to-apply/costs-biobank-lifelines ;Martin;General health?
25;DRG - Diagnosis-Related Groups Statistics;Statistische Ämter des Bundes und der Länder - Forschungsdatenzentren (Institutes for Statistics of State and Federal State - Reasearch Data Centres);Germany;;2005-2021;years;;;quantitative;secondary;aggregated;on request (mostly on-site);/;https://www.forschungsdatenzentrum.de/en/health/drg;forschungsdatenzentrum@destatis.de;/;;Tim;
26;"KiGGS (Studie zur Gesundheit von Kindern und Jugendlichen in Deutschland; English: German Health Interview and Examination Survey for Children and Adolescents)";Robert Koch Institut;Germany;State;2003-2017;3 years;Up to 23000, depending on wave;health data and seom sociodemographic data on people under 18 years, and those ober 18 years that participated in earlier studies;quantitative;primary;individual;on request;/;https://www.kiggs-studie.de/deutsch/studie.html;kiggsinfo@rki.de;/;;Tim;Children
27;Causes of death - crude death rate by NUTS 2 region of residence;Eurostat;European Union;Aggregates, Country, NUTS1, NUTS2;2011-2020;yearly;1 per unit per year;Crude death rate by gender (and by cause of death);quantitative;secondary;aggregate;Public data;Free;https://ec.europa.eu/eurostat/databrowser/view/HLTH_CD_ACDR2/default/table?lang=en;https://ec.europa.eu/eurostat/web/main/contact-us;;"Additional dataset on other health indicators see: https://ec.europa.eu/eurostat/data/database and look for; General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Causes of death";Martin;Death
28;Health personnel by NUTS 2 regions - historical data (1993-2021);Eurostat;European Union;Aggregates, Country, NUTS1, NUTS2;1993-2021;yearly;1 per unit per year;"Health personnel by NUTS2 region in number, per hunderd thousand inhabitants; by occupational classification (health)";quantitative;secondary;aggregate;Public Data;Free;https://ec.europa.eu/eurostat/databrowser/view/HLTH_RS_PRSRG__custom_6621904/default/table?lang=en;https://ec.europa.eu/eurostat/web/main/contact-us;;"Additional dataset on other health; resource and patients data see: https://ec.europa.eu/eurostat/data/database and look for; General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Health care: resources and patients (non-expenditure data)";Martin;Medical workforce
29;NKR number (in Dutch: NKR cijfers);Integral Cancer Institute Netherlands(In Dutch: integraal Kankercentrum Nederland);The Netherlands;Country level, provinces;1989-2022;yearly;1 aggregate number per area per year;Prevelance, Incidence, death, survivers (per region and/or cancer type);quantitative;primary;aggregate;Public data;Free;https://iknl.nl/nkr-cijfers;https://iknl.nl/over-iknl/contact-adres;;Data only available in Dutch. Number of deaths comes from CBS;Martin;Not sure what NKR is but I assume cancer
30;European health interview survey;Eurostat;European Union;Individuals;Waves with different year for different countries: 2006-2009 waves 1, wave 2 was 2013-2015, wave 3 was for 2019.;yearly (see previous column);1 per wave;background variables (sex, age, education etc...), health status variables, health-care use (hospitalisation, consulation etc...), health determinants (height and weights, fruit and vegetable consumption);quantitative/qualitative;primary;individual;Available on request;Free;https://ec.europa.eu/eurostat/web/microdata/european-health-interview-survey;https://ec.europa.eu/eurostat/web/main/contact-us;;Takes up to 8 weeks to get data. Contains information on region of residence (NUTS 2) but not for the Netherlands in wave 3. Similarly note that both the Netherlands and Germany are not included in wave 1. (Tim: I corrected the region from Netherlands to European Union);Martin;general health
31;GEDA - Gesundheit in Deutschland aktuell (current german health);Robert Koch Institut;Germany;up to municipality (depending on access type and wave);2009, 2010, 2012, 2014/15, 2019/20;/;between approx. 19000 and 24000 (depending on wave);up to 316 variables on health behaviour and health status;quantitative;primary;individual;on request, special request for regional data;/;https://www.rki.de/DE/Content/Forsch/FDZ/Datenangebot/GEDA_inhalt.html;"fdz@rki.de; contact formular on website";/;/;Tim;general health
32;KiGGS - Studie zur Gesundheit von Kindern und Jugendlichen in Deutschland (Health Study on Children and Adolescents in Germany);Robert Koch Institut;Germany;up to municipalitay level (depending on access type);2003 - 2017, in three waves;/;between approx. 12000 ans 17500 (depending on wave);between approx. 500 and 1200 variables on health of children and adolescents, accompanying them into adulthood;quantitative;primary;individual;on request, special request for regional data;/;https://www.rki.de/DE/Content/Forsch/FDZ/Datenangebot/KiGGS_inhalt.html;"fdz@rki.de; contact formular on website";;special wave additionally to second wave;Tim;children
33;DEGS - Studie zur Gesundheit ERwachsener in Deutschland (Study on the health of adults in Germany);Robert Koch Institut;Germany;up to municipality level (depending on access type);1997 - 1999, 2008 - 2011;/;between approx. 7000 and 8000;between approx. 600 and 1000 variables on the same cohort of adults, including physical examinations;quantitative;primary (examination data should be secondary, but not sure);individual;on request, special request for regional data;/ ;https://www.rki.de/DE/Content/Forsch/FDZ/Datenangebot/DEGS_inhalt.html;"fdz@rki.de; contact formular on website";/;/;Tim;General health
34;LSN-Online Datenbank (LSN- Online Database);LSN - Landesamt für Statistik Niedersachsen (Federal Institute for Statistics Lower Saxony);Germany;up to municipality level;2016-2021;years;/;Type of admission, type of hospital operator, Bed capacities, Large medical-technical equipment, Drug supply, Medical and non-medical staff (from 2018 in the form of individual staff data records), Calculation and occupancy days, Patient arrivals and departures, Deliveries and births, Outpatient services (from 2018 differentiated by legal basis), Pre-, post and partial inpatient treatments as well as Participation in inpatient emergency care (from 2018). Other topics under contextual data.;quantitative;primary;aggregated;open access;/;https://www1.nls.niedersachsen.de/statistik/html/default.asp;Datenbank@statistik.niedersachsen.de;/;;Tim;general health, hospitals, medication, hospital admissions, births etc.
35;Qualitätsberichte der Krankenhäuser (hospital quality reports);Gemeinsamen Bundesausschuss (G-BA) (Federal Joint Committee (G-BA));Germany;/;Not stated (apparently 2012-2022 so far);years;Not stated;general and structural information (e.g. personnel, services, etc.), quality of services and performance;qualitative (at least mostly, not sure);primary;aggregated per hospital;on request;/ ;https://qb-datenportal.g-ba.de/;https://qb-datenportal.g-ba.de/kontakt;2023;Reports as PDF or XML files;Tim;hospitals
36;Doctors per inhabitant - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);DE NUTS 1, NL NUTS 2;2010-2019;years;Not stated;Doctors per inhabitant: only federal states;quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;general practioners/workforce
37;Krankenhausbetten (hospital beds) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);DE NUTS 3, NL NUTS 2;DE 2010-2017, NL 2010-2012;years;Not stated;- Hospital beds in general hospitals (per 100,000 inhabitants);quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;hospital beds
38;Lebenserwartung (life expectancy) - MORO Project (Modellvorhaben der Raumordnung (Model project of spatial planning);Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR) - (Federal Institute for Research on Building, Urban Affairs and Spatial Development);Germany/Netherlands (and other EU-countries);NUTS 2, incomplete;2010-2019;years;Not stated;Life expectancy women at birth (years), life expectancy men at birth (years);quantitative;secondary;aggregated;on request;Free;https://www.bbsr.bund.de/BBSR/DE/forschung/raumbeobachtung/Komponenten/grenzueberschreitende-raumbeobachtung/grenzueberschreitende-raumbeobachtung.html;"Claire Duvernet
Bundesinstitut für Bau-, Stadt- und Raumforschung (BBSR)
Referat RS 3 „Europäische Raum- und Stadtentwicklung“
Telefon: +49 228 99401-2328
E-Mail: claire.duvernet@bbr.bund.de";/;/;Tim;Life expectancy
39;Corona-Datenplattform (Corona-Data Platform);BMWK (Federal Ministry for Economic Affairs and Climate Protection);Germany;apparently NUTS 2;2020-2022;years (not sure);not stated;Labour market, Development structure, Education, Infectious diseases, Infrastructure, Hospital and care data, Mobility, Public and private finances, Settlement structure, Social and political indicators, Sociodemographics, Economic data, Corona measures, Other data;quantitative/;secondary;aggregated;on request with registration;Free;https://www.healthcare-datenplattform.de/;info@infas360.de;/;/;Tim;Covid-19
40;Regionaldatenbank Deutschland (Regional Database Germany);Statistische Ämter des Bundes und der Länder (Statistical Offices of the Federation and the Länder);Germany;up to municipaliy level;depends on variable;years;Not specified.;Grunddaten der KRankenhäuser, Grunddaten der Vorsorge- oder Rehabilitationseinrichtungen, Diagnosen der Krankenhauspatienten, Todesursachenstatistik;quantitative;secondary;Aggregated;public data;/;https://www.regionalstatistik.de/genesis/online;regionaldatenbank@it.nrw.de;/;Same categories as GENESIS by DESTATIS, different variables;Tim;
41;Onkologischer Basisdatensatz 2021 (Oncology baseline dataset 2021);KKN (Klinisches Krebsregister Niedersachsen (clinical cancer registry lower saxony));Lower Saxony;up to municipality level on request;not clear;/;Not stated;patient data, notifier data, diagnosis, histology, TNM classification, residual status, distant metastasis, performance status, surgery, radiotherapy, side effects of radiotherapy or systemic therapy, systemic therapy, course of disease, therapy recommendation, death, comment, surgeon, genetic variant, study participation, additional contacts;quantitative;secondary;aggregated;on request;/ ;https://www.kk-n.de/auswertungen/sekundaere-datennutzung/;https://www.kk-n.de/kontakt/;/;/;Tim;Cancer
