ID;Name;Source;Study Location;Geographical Unit;Study Period;Time Unit;Number of cases;Variables;Qualitative/Quantitative;Secondary or primary data;Agggregated/Individual Data;Access;Cost;URL;Contact Details;Data Quality/ Limitations;Comments;Contributor;Topic
14;Students in secundary education (In Dutch: Leerlingen voortgezet onderwijs naar school en woonlocatie leerling, gemeente Groningen);Gemeente Groningen ;Municipality of Groningen;Per school within the municipality of Groningen.;2018-2019 until 2021-2022.;There is no time-dimension visible in the excel-file, so it likely corresponds to the schoolyear.;Not specified.;The number of students in secundary education per school and municipality of residence of the student.;quantitative;Secundary. The data are collected by DUO and are modified by OIS Groningen. They filtered the Groningen data from the dataset which covered all of the Netherlands.;Aggregated (but very low numbers).;Open access.;0,- ;https://data.groningen.nl/dataset/leerlingen-voortgezet-onderwijs-naar-school-en-woonlocatie-leerling-gemeente-groningen;The Groningen Open Data Team (opendata@groningen.nl);The data is not structured in the most efficient way, but nonetheless potentially interesting for our inventory (particularly for the contextual factors).;Data in Dutch. Oftentimes there is the value 0 in the dataset, but if someone would structure it differentlu, it could be very informative. ;Karin;students, education
15;Inhabitants of Groningen by place of origin (In Dutch: Bevolking naar herkomst per gebied binnen de gemeente Groningen);Gemeente Groningen;Municipality of Groningen;Neighbourhood;2022 (updated yearly).;Not specified (likely per year);Not specified.;Place of origin of Groning's residents (divided into migrants and children of migrants);quantitative;Primary.;Aggregated (only visible from >5 cases);Open access;0,- ;https://data.groningen.nl/dataset/bevolking-naar-herkomst-per-buurt-gemeente-groningen;The Groningen Open Data Team (opendata@groningen.nl);There appears to be no dataset to download.;The acces here also seems limited (you cannot download an excel-file).;Karin;Demography
16;Population municipality of Groningen (In Dutch: Bevolking naar herkomst per gebied binnen de gemeente Groningen);Gemeente Groningen;Municipality of Groningen;Neighbourhood;2022 (updated yearly).;Per year.;Not specified.;Several characteristics, such as age, gender and marital status.;quantitative;Primary.;Aggregated.;Open access;0,- ;https://data.groningen.nl/dataset/bevolking-en-huishoudens-gemeente-groningen;The Groningen Open Data Team (opendata@groningen.nl);There appears to be no dataset to download.;The acces here also seems limited (you cannot download an excel-file).;Karin;Demography
17;Crime reports (In Dutch: Aangiften politie per buurt gemeente Groningen);Gemeente Groningen;Municipality of Groningen;Neighbourhood;2014-2021 (updated yearly).;Per year.;Not specified.;It distinguishes between 5 types of theft (i.e. from car/house/company, of car/bicycle), abuse and destruction of property. This is measured per neighbourhood within the municipality. ;quantitative;Secundary. The municipality of Groningen owns the data, but it is collected by Groningen's police force and modified by OIS Groningen.;Aggregated.;Open access;0,- ;https://data.groningen.nl/dataset/aangiften-politie-per-buurt-gemeente-groningen;The Groningen Open Data Team (opendata@groningen.nl);The data contains relatively many 0 values, but the excel file still seems very relevant to our inventory.;Data in Dutch;Karin;Crime
18;Dropouts in highschool of vulnerable youth (In Dutch: Voortijdige schoolverlaters);DUO;The Netherlands;By (COROP) region or educational institution.;2018-2021.;Per year.;Not specified.;The data are separated by gender. It gives the number of students, the number of dropouts and the corresponding dropout-percentage.;quantitative;This remains a bit unclear, as there is no notion of the source of the data. ;Aggregated.;Open access;0,- ;https://cijfers.duo.nl/ibi_apps/bip/portal/vsv_portal;Not very intuitive way to view the data. ;At first I overlooked it, but by clicking on the excel-icon, data can be exported into an excel-file.;Data only in Dutch;Karin;youth, education
19;Criminal Charges Pressed in Groningen. (In Dutch: Aangiften politie gemeente Groningen);Municipality of Groningen;Municipality of Groningen;Municipality;1996-2021;year;"1 number per year
";theft (various types), robbery, assault/violence etc..;quantitative;secondary;aggregated;open access;no cost;https://data.groningen.nl/dataset/aangiften-politie-gemeente-groningen;opendata@groningen.nl;No missing obvervations for the study period;Data only available in Dutch;Martin;Crime
20;Number of social benefits (unemployment etc..) (In Dutch: Uitkeringen gemeente Groningen);Municipality of Groningen and UWV;Municipality of Groningen;Municipality;2014-2022;year;1 number per year;IOAW/Z, ROA, WW, WAO etc..;quantitative;primary/secondary;aggregate;open access;no cost;https://data.groningen.nl/dataset/uitkeringen-gemeente-groningen;opendata@groningen.nl;No further comments;Data for unemployment benefits only available for 2014-2020, data for disability benefit recipients only available for 2014-2020;Martin;social benefits
21;Background Variables Districts and Neighbourhoods (In Dutch: Kerncijfers wijken en buurten yyyy);CBS Statline;Whole of the Netherlands;All Dutch Neigbourhoods and Districts (Municipal);2009-2022;year;1 per year;Demographic (number of inhabitants, gender etc...), Number of Businesses by category etc...;quantitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/statline/#/CBS/nl/navigatieScherm/thema?themaNr=52010;contactcenter@cbs.nl;No further comments;Only available in Dutch;Martin;Demography
22;"Background Variables Regional Statistics (In Dutch: Regionale kerncijfers Nederland)
";CBS Statline;Whole of the Netherlands;"All Dutch: NUTS 1 (Northern Netherlands), Provinces; COROP regions (NUTS 3), Municipalities";1995-2023;year;1 number per region every year;"Demographic etc.. (see ID;3)";quantitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/70072ned/table?ts=1683297861245;contactcenter@cbs.nl;No futher comments;Note that muncipal borders and well as NUTS3 (COROP) definitions might have changed over time;Martin;Demography
23;Netherlands Business survey, region, month;CBS Statline;Whole of the Netherlands;Regions (NUTS1) and Provinces (NUTS2);1989-2023;month;1 number per month;Turnover, Orders, Workforce, Economic Climate, etc....;quantitative/qualitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/81238eng/table?ts=1683453361030;contactcenter@cbs.nl;Missing observations in some cases (industry aggregates);Uses SBI 2008 definitions of business activities (sectors);Martin;economy, business
24;"Land use; all categories, municipalities";CBS Statline;Whole of the Netherlands;Regions (NUTS1), Provinces (NUTS2), COROP-Regions (NUTS3), Municipalities, Urban Regions, Metropolitain agglomerations;1996, 2000, 2003, 2006, 2008, 2010, 2012, 2015, 2017;year;1 number per year per region;Total surface area per type of use;quantitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/70262ENG/table?ts=1683454890973;contactcenter@cbs.nl;Data for urban regions seem to be missing;Only available for specific years;Martin;land use, administration
25;"Proximity to facilities; distances by car, regional";CBS Statline;Whole of the Netherlands;Regions (NUTS1), Provinces (NUTS2), COROP-Regions (NUTS3), Municipalities;2006-2021;year;1 number per year per region;"Distance to ''Activity/Amenity"" and Number of ""Activities/Amenities"" within ""x"" km";quantitative;primary ;aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/80305ENG/table?ts=1683455572397;contactcenter@cbs.nl;Missing observations for some categories (either not included yet or discontinued such as distance to Physiotherapist);;Martin;quality of life, housing, administration
26;"Energy consumption private dwellings; type of dwelling and regions";CBS Statline;Whole of the Netherlands;Regions (NUTS1), Provinces (NUTS2), Regional Energy Statergy Regions, SubRES, Municipalities, ;2010-2021;year;1 number per year per period per dwelling type;Average consumption on natural gas (m3), average consumption of electricity (kWh), district heating (%);quantitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/81528ENG/table?ts=1683459119787;contactcenter@cbs.nl;Frequent missing observations for district heating (%);Provisional data for 2018 onwards as of 07-05-2023;Martin;Energy, administration
27;"Municipal budgets; income and expenditures by region and size class";CBS Statline;Whole of the Netherlands;Regions (NUTS1), Provinces (NUTS2), COROP-Regions (NUTS3);2017-2023;year;1 number per year per region per category;"Expenses on municipal tasks ''Task Type"" in million euros";quantitative;primary (aggregated from municipalities);aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/83641ENG/table?ts=1683459784570;contactcenter@cbs.nl;No futher comments;Budget for 2023 (not actual expenses);Martin;Administration
28;"Municipal budgets; levies per municipality";CBS Statline;Whole of the Netherlands;Municipalities of yyyy;2017-2023;year;1 number per year per municipality;Municipal taxed in 1000 euros, per type:;quantitative;primary (but from municipalities);aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/83642ENG/table?ts=1683460327317;contactcenter@cbs.nl;No further comments;Some municipalities merged in the study period, Projections for 2023;Martin;Administration
29;"Existing own homes; average purchase prices, region";CBS Statline;Whole of the Netherlands;Regions (NUTS1), Provinces (NUTS2), COROP-Regions (NUTS3);1995-2022;year;1 number per period per region;Average purchasing price owned homes;quantitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/83625ENG/table?ts=1683461012077;contactcenter@cbs.nl;No futher comments;;Martin;housing, quality of live, economy
30;"Housing satisfaction; household characteristics, regions";CBS Statline;Whole of the Netherlands;Regions (NUTS1), Provinces (NUTS2), COROP-Regions (NUTS3), Municipalities;2002, 2006, 2009, 2012, 2015, 2018, 2021;year;1 number per year per period per type of dwelling;Satisfaction with current dwelling, satisfaction with living environment;qualitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/84570ENG/table?ts=1683461514258;contactcenter@cbs.nl;No futher comments;;Martin;quality of life, housing
31;"Construction; category of purpose of new buildings, building phase, region";CBS Statline;Whole of the Netherlands;Regions (NUTS1) and Provinces (NUTS2);2015-2023;year, quarter, month;1 number per period per region;Order received, Building projects started, Production of building projects, Building projects completed (all in mln euros);quantitative;primary;aggregate;open access;no cost;https://opendata.cbs.nl/#/CBS/en/dataset/83707ENG/table?ts=1683462513057;contactcenter@cbs.nl;No futher comments;;Martin;economy, housing
32;Regional Monitor Cromprehensive Wellbeing 2022 (In Dutch: Regionale Monitor Brede Welvaart 2022) ;CBS Statline;Whole of the Netherlands; Provinces (NUTS2), COROP (NUTS3), Municipalities;2013-2021;yearly;1 number per  region/municipality/province every year;Subjective Wellbeing (0-100) , Greenhouse gas emission per capita etc. See overview of indicators used https://www.cbs.nl/nl-nl/visualisaties/regionale-monitor-brede-welvaart/beschrijving-indicatoren;quantitative;primary/secondary;aggregate (but also at municipal level, which are ;open access;no cost;https://www.cbs.nl/nl-nl/visualisaties/regionale-monitor-brede-welvaart/downloads;contactcenter@cbs.nl;No further comments;"Contains information on all variables. For further information see the data link and tab (In Dutch only) ""Technische toelichting"" & Beschrijving indicatoren";Martin;quality of life, environment
33;Repeating of class, highschool (in Dutch: Zittenblijvers middelbaar onderwijs);DUO;Whole of the Netherlands;Country wide, province (NUTS2), and per school location;2015-2022 (last being 2021-2022);per school year;1 per area (or school) of observations (might be non-constant across time for school locations);Number of class repeaters, number of pupils going down a grade level, number of pupils going up a grade level.;quantitative;primary (information comes from schools);aggregate (one number per school per year);open access;no cost;https://duo.nl/open_onderwijsdata/voortgezet-onderwijs/aantal-leerlingen/zittenblijvers.jsp;Not very intuitive way to view the get in contact with DUO;No further comments;Multiple datasets (waves) available, one per school year;Martin;youth, education
34;Werkloosheids Wet Data (Unemployment benefits Data);UWV;Whole of the Netherlands;Province (NUTS2), Labour Market Region (Arbeidsmarkregio), and Municipality;2019-today;monthly;1 per area per month;UB entrants, UB recipients, UB exit;quantitative;primary;aggregate;open access;no cost;https://www.werk.nl/arbeidsmarktinformatie/datasets;arbeidsmarktinformatie@uwv.nl;No further comments;Only available in Dutch. Labour market regions. See https://www.werk.nl/arbeidsmarktinformatie/regio for an overview;Martin;social benefits
35;Labour market tightness indicator (In Dutch: Spanningsindicator Data);UWV;Whole of the Netherlands;Province (NUTS2) or Labour Market Region (Arbeidsmarktregio);2016-today;monthly;1 per area per month;Labour market tightness indicator;quantitative;primary;aggregate;open access;no cost;https://www.werk.nl/arbeidsmarktinformatie/datasets;arbeidsmarktinformatie@uwv.nl;Missing observations for some sectors and employment type (could be that these sectors are unrepresented in local labour markets);Explanation of indicator calculation: https://www.werk.nl/imagesdxa/uitleg_methodiek_spanningsindicator_arbeidsmarkt_tcm95-425144.pdf (IN DUTCH ONLY!);Martin;economy, labour market 
36;Number of registered job-seekers at the UWV with and without employment (In Dutch: Het aantal Geregistreerde Werkzoekenden bij UWV met en/of zonder dienstverband (GWU));UWV;Whole of the Netherlands;Province (NUTS2), Municipality;2021-today;monthly;1 per area per month;GWU with employment and GWU without employment;quantitative;primary;aggregate;open access;no cost;https://www.werk.nl/arbeidsmarktinformatie/datasets;arbeidsmarktinformatie@uwv.nl;No further comments;Persons can be included/excluded based on the type of social benefits (unemployment, disability etc).;Martin;economy, labour market 
37;Vacancies data (In Dutch: Vacaturemarkt Data);UWV;Whole of the Netherlands;Labour market region (Arbeidsmarktregio);2016-today;monthly;1 per area per month;Vacancies created, open vacancies;quantitative;primary;aggregate;open access;no cost;https://www.werk.nl/arbeidsmarktinformatie/datasets;arbeidsmarktinformatie@uwv.nl;No further comments;Only available in Dutch. Labour market regions. See https://www.werk.nl/arbeidsmarktinformatie/regio for an overview;Martin;economy, labour market 
38;Online vacancies data (In Dutch: Online vacatures data);UWV;Whole of the Netherlands;Labour market region (Arbeidsmarktregio);2021-today;monthly;1 per area per month;Open online vacancies;quantitative;primary;aggregate;open access;no cost;https://www.werk.nl/arbeidsmarktinformatie/datasets;arbeidsmarktinformatie@uwv.nl;No further comments.;Only available in Dutch. Labour market regions. See https://www.werk.nl/arbeidsmarktinformatie/regio for an overview;Martin;economy, labour market 
39;[OPEN ACCESS] Businesses and employed persons (In Dutch: Vestigingen en werkzame personen);LISA;Whole of the Netherlands;Countrywide, Provinces (NUTS2), COROP (NUTS3), Municipality;2018-2022 (All but countrywide), 2016-2022 (Countrywide);yearly;1 per area per year;number of businesses and employed persons;quantitative;primary;aggregate;open access;no cost;https://www.lisa.nl/data/gratis-data;info@lisa.nl;No further comments;Note that on the municipal level data is only available for 2018-2022 and by. For other geographical areas information similar years apply but selection can also be made on the basis of sector and business size (number of employees).;Martin;economy, business, labour market
40;[PRIVATE DATA] Businesses and employed persons (in Dutch: Vestigingen en werkzame personen);LISA;Whole of the Netherlands;"Countrywide, small geographical area ""postcode"" (Zipcode to 4 digits) or per business";1996-2022;yearly;1 per area per year;number of businesses (by size), employed persons, value added, ;quantitative;primary;aggregate (per postal code) or individual (per business);private data;>0;https://www.lisa.nl/vrijblijvende-offerteaanvraag;info@lisa.nl;No further comments;Data in Dutch, more information on pricing see: https://www.lisa.nl/data/tarieven. There are two different options available.;Martin;economy, business, labour market
41;Population on Jan 1st and on average by sex, age and region (In Dutch: Bevolking op 1 junuari gemiddeld per geslacht, leeftijd en regio);CBS ;The Netherlands;From larger regions, to COROP and municipalities.;1988-2023;Yearly;Population counts per selected age(s);Population counts on January 1st and on average, in which you can specify marital status, gender and age (besides the region).;quantitative;Primary;Aggregated data;Public data;Free;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/03759ned/table?fromstatweb;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only in Dutch. Plus, I discovered during my thesis that for the average population, CBS takes only half of the people of age 0. ;Karin;Demography
42;"Graduates; age, education type, ethnic background, and region (In Dutch; Gediplomeerden; leeftijd, onderwijssoort, migratieachtergrond, woonregio)";CBS;The Netherlands;From larger regions, to COROP and municipalities.;2000-2021;Singular schoolyears (e.g. 2000-2001).;"Depends per chosen ""schoolyear"".";The number of graduates, in which one can specify age, education type (e.g. secundary and multiple types of tertiaty education), ethnic background and region.;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/71493ned/table?ts=1686651079218;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only in Dutch. Furthermore, for migration background, there are not many categories.;Karin;education
43;Employment history over the past 4 years (in Dutch: Arbeidsverleden bevolking afgelopen 4 jaar, regio(indeling 2021), 2004-2020);CBS;The Netherlands;From larger regions, to COROP and municipalities.;2004-2020;The amount of time of being employed goes from 1 month-1year, 1-2 years, 2-3 years, >3 or 4.;Not specified.;The number of people, the number of people being employed & unemployed per time-element (as specified two columns to the left). One can also filter on sex, age and ethnic background.;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/85160NED/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Only available in Dutch.;Karin;labour market
44;"Household wealth; by household characteristics, per region (2022 definition) (In Dutch: Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2022))";CBS;The Netherlands;NUTS3, Province (NUTS2), COROP (NUTS1), Municipalities, labour market regions;2006-2021;yearly;one number per time unit;Number of households (by type in thousands),  total wealh, average wealth (thousands), median wealth;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/85338NED/table?ts=1686054628569;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Data is only available in Dutch;Martin;Households, quality of life, economy
45;"Domestic violence (In Dutch: Huiselijk geweld; kerncijfers Veilig Thuis, regio)";CBS;The Netherlands;"Provinces/COROP/""Veilig Thuis regio's"" (Safe at Home regions). ";2019-2022;1-year, and 6-months periods within respective years.;Not specified.;"Activities of the organisation ""Veilig Thuis"" (e.g. number reports/number of resolved and running cases).";quantitative;"CBS received the data from ""Veilig Thuis"", I am not sure to what extent the data were already piled together.";Aggregated;Public data;Free;https://opendata.cbs.nl/#/CBS/nl/dataset/84847NED/table;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;;Only available in Dutch, because of the vulnerable population, there is not much additional information available.;Karin;Crime
46;"Socio-economic status; scores per district or neighbourhood (In Dutch: Sociaal-economische status; scores per wijk en buurt, regio-indeling 2021)";CBS;The Netherlands;Municipal districts and neighbourhoods;2014-2019;yearly;one number per time unit;average SES-WOA scores and mean abosolute differences.;quantitative;Primary;Aggregated;Public data;Free;https://opendata.cbs.nl/statline/#/CBS/nl/dataset/85163NED/table?ts=1686055092399;https://www.cbs.nl/nl-nl/over-ons/contact/infoservice;No further comments;Data is only in Dutch. Note that the Dutch Wijk (District) is bigger than Buurt (Neighbourhood), which is a part of a Wijk. A definition of SES-WOA score is only provided in Dutch, but looks at wealth, education and long-term employment. https://www.cbs.nl/nl-nl/faq/infoservice/hoe-interpreteer-je-de-ses-woa-scores-en-hoe-zijn-deze-bepaald-;Martin;households, quality of life
47;"Emission Registration (In Dutch; Emissie Registratie)";"National Government (In Dutch; Rijksoverheid)";The Netherlands;Netherlands, provinces, municipalities, fluvial areas, water management areas, water closure unit, 5*5 km2 areas.;1990, 1995, 2005, 2010, 2019, 2020;irregular 5-yearly basis;one per area per observation;Emission of substances (ammonia etc, pesticides) in air, surface water, sewage systems, or soil. Cna be categorised by sector, subsector, emission cause, or even company;quantitative;Secondary (registration system);Aggregated on area level;Public Data;Free;https://www.emissieregistratie.nl/data/data-export;info@rivm.nl;No further comments;Data only available in Dutch.;Martin;Environment
48;Groningen Panel (In Dutch: Groningener Panel);Social Planning Bureau Groningen (In Dutch: sociaal planbureau groningen) (CMO-STAMM);Groningen;Groningen, municipality;2013-present day;depends on topic (10 times a year);About 7,000;Topics: Earthquakes, health, education, broad welfare, youth, labour market.;quantitative/qualitative;Primary;Individual;Private Data;On request;https://sociaalplanbureaugroningen.nl/over-het-groninger-panel/;info@sociaalplanbureaugroningen.nl;NA;"Only a selection of indicators, on a given theme, can be obtained on request.Data only available in Dutch. Note, that some data comes from the CBS (aggregate level; municipality)";Martin;very broad
49;"Drenthe Panel (In Dutch; Drents Panel)";Drenthe Trending Bureau (In Dutch: drents trendbureau) (CMO-STAMM);Drenthe;Drenthe, municipality;2020-present day;depends on topic (10 times a year);About 6,000;"Topics; poverty, broad welfare, illiteracy, education, health, covid....";quantitative/qualitative;Primary;Individual;Private Data;On request ;https://trendbureaudrenthe.nl/over-het-drents-panel/;info@trendbureaudrenthe.nl;NA;"Only a selection of indicators, on a given theme, can be obtained on request.Data only available in Dutch. Note that there has been a previous panel called Drents parlement since 2005 which ended in 2020. Note, that some data comes from the CBS (aggregate level; municipality). ";Martin;very broad
50;Persons at risk of poverty or social exclusion by NUTS regions - EU 2020 strategy;Eurostat;European Union;Country, NUTS1, NUTS2, NUTS3;2003-2020;yearly;1 per unit per year;Persons at risk of poverty or social exclusion;quantitative;primary;aggregate;Public data;Free;https://ec.europa.eu/eurostat/databrowser/view/ILC_PEPS11__custom_6620846/default/table?lang=en;https://ec.europa.eu/eurostat/web/main/contact-us;;"Not all countries are included from the start (2003). Additional dataset on other social exclusion indicators see: https://ec.europa.eu/eurostat/data/database and look for; General and regional statistics > Regional statistics by NUTS classification > Regional poverty and social exclusion statistics";Martin;socioeconomic status
